author_name,instances_of_study,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards
"Kneubuhl, John",2,1920,M,Samoan-Swiss-Welsh,Multiracial Pacific Islander-White,Manu'a (United States territory) (present-day American Samoa),Foreign,1,,"Manu'a (United States territory) (present-day American Samoa), United States","HI, CA","Los Angeles, Honolulu",Undergraduate,Bachelor's,N,Yale University,,,
"Kobayashi, Yoshinori",1,1953,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,,,,N,,N,N/A,
"Kogawa, Joy",21,1935,F,Japanese,Asian,Canada,N/A,N/A,N/A,Canada,,,,,N,,N,N/A,"Order of Canada, Order of the Rising Sun"
"Komuro, Kyotaro",1,1885,M,Japanese,Asian,Japan,Foreign,1,1907,"Japan, United States","WA, CA, AR, CO","Seattle, San Francisco, Denver",,,,,N,N/A,
"Kondo, Marie",1,1984,F,Japanese,Asian,Japan,Foreign,1,,"Japan, United States",CA,"Osaka, Tokyo, Los Angeles",Undergraduate,Bachelor's,N,Tokyo Women's Christian University,N,N/A,
"Konietzko, Bryan",1,,M,,,,,,,,,,,,,,,,
"Koster, Henry",1,1905,M,Jewish,Jewish,Germany,Foreign,1,1936,"Germany, United States",,"Berlin, Los Angeles",High School,High School Diploma,N,,N,N/A,
"Koul, Sudha",1,1947,F,,,India,Foreign,,,,,,,,,,,,
"Krishnan, Indu",1,,F,Indian,Asian,India,Foreign,,,United States,"NY, CA",San Francisco,,,,,,,National Endowment for the Arts Fellowship
"Kunio, Shimizu",1,1936,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,,Undergraduate,Bachelor's,N,Waseda University,Y,Tama University,
"Kuniyoshi, Yasuo",1,1889,M,Japanese,Asian,Japan,Foreign,1,1906,"Japan, United States","CA, NY","Okayama, Los Angeles, New York City",,,,,N,N/A,Guggenheim Fellowship
"Kuo, Helena",1,1911,F,Chinese ,Asian,China,Foreign,1,1939,"China, England, United States",,,Undergraduate,Bachelor's,N,Shanghai University,N,N/A,
"Kuramoto, Kazuko",1,1927,F,Japanese,Asian,China (under Japanese occupation),N/A,N/A,N/A,"China (under Japanese occupation), Japan",,,Undergraduate,Bachelor's,N,Eastern Oregon State University,N,N/A,
"Kurup, Shishir",1,1961,M,Indian,Asian,India,Foreign,1,1974,"India, Kenya, United States",CA,,Graduate,Master's,Y,University of California San Diego,N,N/A,
"Kuruvilla, Sunil",1,,M,Indian,Asian,,N/A,N/A,N/A,Canada,,,Graduate,Master's,Y,"University of Windsor, Yale University",N,N/A,
"Kwa, Lydia",1,1959,F,,,Singapore,N/A,N/A,N/A,Canada,,,Graduate,PhD,N,Queen's University,N,N/A,
"Kwan, Daniel",1,1988,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,MA,,Undergraduate,Bachelor's,N,Emerson College,N,N/A,
"Kwan, Kevin",1,1974,M,Chinese (from Singapore),Asian,Singapore,Foreign,1.5,,"Singapore, United States","TX, NY","Houston, New York City",Undergraduate,Bachelor's,N,The New School,,,
"Kwan, Michael David",1,1934,M,Chinese-Swiss,Multiracial Asian-White,China,N/A,N/A,N/A,Canada,,,,,N,,,,
"Kwok, Jean",1,1968,F,Chinese,Asian,China,Foreign,1.5,,"China, United States, Netherlands",NY,New York City,Graduate,Master's,Y,Columbia University,Y,Leiden University,
"Kwong, Dan",1,1954,M,Chinese-Japanese,Asian,United States,Native,,N/A,United States,CA,,Undergraduate,Bachelor's,N,Art Institute of Chicago,N,N/A,
"Lahiri, Jhumpa",25,1967,F,Indian,Asian,England,Foreign,1.5,,"United States, Italy",RI,Rome,Graduate,PhD,Y,Boston University,Y,Princeton University,"Guggenheim Fellowship, National Humanities Medal, Metcalf Award"
"Lai, Larissa",5,1967,F,Chinese,Asian,United States,Native,,N/A,Canada,,,Graduate,PhD,N,University of Calgary,Y,University of British Columbia,Lambda Literary Award
"Lai, Thanhha",2,1965,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,1975,"South Vietnam, United States","AL, TX, NY",,Graduate,Master's,Y,New York University,Y,The New School,
"Lajpat Rai, Lala",1,1865,M,Indian,Asian,India,Foreign,,,"India, United States",NY,"New York City, Lahore",Graduate,,N,Government College,,,
"Lam, Andrew",1,1964,M,Vietnamese,Asian,South Vietnam,Foreign,1.5,1975,"South Vietnam, United States",CA,,Graduate,Master's,N,San Francisco State University,N,N/A,
"Lange, Dorothea",1,1895,F,German,White,United States,Native,2,N/A,United States,"NJ, NY, CA","New York City, San Francisco",High School,High School Diploma,N,,N,N/A,
"Larsen, Nella",1,1891,F,African American-Danish,Multiracial Black-White,United States,Native,,N/A,"United States, Denmark","IL, NY","Chicago, New York City",Graduate,Nursing Certificate,N,Lincoln Hospital,N,N/A,Guggenheim Fellowship
"Larsen, Wendy Wilder",1,1940,F,Euro American,White,United States,Native,,N/A,"Vietnam, United States","CA, MA",Santa Barbara,,,,,,,
"Lau, Evelyn",4,1971,F,Chinese (from Hong Kong),Asian,Canada,N/A,N/A,N/A,Canada,,,Some High School,None,N,N/A,N,N/A,
"Law-Yone, Wendy",2,1947,F,Burmese-Chinese-English,Multiracial Asian-White,Burma (present-day Myanmar),Foreign,1,1967,"Burma (present-day Myanmar), United States",DC,"Washington, DC",Undergraduate,Bachelor's,N,Eckerd College,N,N/A,National Endowment for the Arts Fellowship
lê thị điễm thúy  ,4,1972,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,,"South Vietnam, United States","CA, MA",San Diego,Undergraduate,Bachelor's,N,Hampshire College,N,N/A,"Guggenheim, Pushcart Prize, USA Fellowship"
"Le, Mike",1,,M,Vietnamese,Asian,Vietnam,Foreign,,,United States,"CA, MN","Los Angeles, St. Paul",Some Undergraduate,,,,N,N/A,
"Lê, Dinh Q.",1,1968,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,,"South Vietnam, United States",CA,Los Angeles,Graduate,Master's,Y,The School of Visual Arts,,,"National Endowment for the Arts Fellowship, Prince Claus Award, Rockefeller Foundation Bellagio Residency Award, and more"
"Le, Nam",6,1978,M,Vietnamese,Asian,Vietnam,N/A,N/A,N/A,"Australia, United States, England","IA, MA",,Graduate,Master's,Y,University of Iowa,N,N/A,
"Lee, Ang",3,1954,M,Chinese (from Taiwan),Asian,Taiwan,Foreign,1,1978,Taiwan,,,Graduate,Master's,Y,New York University,N,N/A,
"Lee, Bruce",2,1940,M,Chinese (from Hong Kong)-European,Multiracial Asian-White,United States,Native,2,N/A,"United States, Hong Kong (British Territory)","CA, WA","San Francisco, Seattle, Hong Kong, Los Angeles",High School,High School Diploma,N,Edison Technical School,N,N/A,"Hollywood Walk of Fame Star, Hong Kong Film Award for Lifetime Achievement, Martial Arts Hall of Fame inductee, and more"
"Lee, Chang-rae",54,1965,M,Korean,Asian,South Korea,Foreign,1.5,1968,United States,"NY, CA, NH",,Graduate,Master's,Y,University of Oregon,Y,Stanford University,Guggenheim Fellowship
"Lee, Chin Yang",5,1917,M,Chinese,Asian,China,Foreign,1,1943,"China, United States",CA,San Francisco,Graduate,Master's,Y,Yale University,N,N/A,
"Lee, Christopher",1,,,,,,,,,,,,,,,,,,
"Lee, Corky",1,1947,M,Chinese,Asian,United States,Native,2,N/A,United States,NY,New York City,Undergraduate,Bachelor's,N,Queens College,N,N/A,"Special Recognition Asian American Journalists Association, New York Press Association Award, Pioneer Award Organization of Chinese Americans, and more"
"Lee, Dai-ming",1,,M,Chinese,Asian,United States,Native,,N/A,United States,"HI, CA","Honolulu, San Francisco",,,,,N,N/A,
"Lee, Don",4,1959,M,Korean,Asian,United States,Native,3,N/A,"Japan, South Korea, United States","CA, MA","Boston, Tokyo, Seoul",Graduate,Master's,Y,Emerson College,Y,Temple University,
"Lee, Georgia",1,,F,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,"CT, NY",New York City,Undergraduate,Bachelor's,N,Harvard University,,,
"Lee, Gus",2,1946,M,Chinese,Asian,United States,Native,,N/A,United States,CA,,Graduate,JD,N,University of California Davis,N,N/A,
"Lee, Helie",1,1964,F,Korean,Asian,South Korea,Foreign,1.5,1969,"South Korea, Canada, United States",CA,"Seoul, Los Angeles",Undergraduate,Bachelor's,N,University of California Los Angeles,N,N/A,
"Lee, Ho Baek",1,,M,Korean,Asian,South Korea,N/A,N/A,N/A,"South Korea, France",,"Seoul, Paris",,,,,,,
"Lee, Krys",2,,F,Korean,Asian,South Korea,Foreign,,,"South Korea, England, United States","CA, WA",Seoul,Graduate,Master's,Y,Warren Wilson College,Y,Yonsei University,John Guare Writer's Fund Rome Prize
"Lee, Li-Young",8,1957,M,Chinese (from Indonesia),Asian,Indonesia,Foreign,1.5,1964,"Indonesia, United States",PA,,Graduate,,,,Y,"Northwestern University, University of Iowa","National Endowment for the Arts Fellowship, Guggenheim Fellowship, Lannan Award, and more"
"Lee, Marie G.",2,1964,F,Korean,Asian,United States,Native,2,N/A,United States,"MN, RI",,Undergraduate,Bachelor's,N,Brown University,Y,"Brown University, Yale University","MacDowell Fellowship, New York Foundation for the Arts Fellowship"
"Lee, Mary Paik",1,1900,F,Korean,Asian,Korea,Foreign,1.5,1906,"Korea, United States","HI, CA",,,,,,N,N/A,
"Lee, Min Jin",1,1968,F,Korean,Asian,South Korea,Foreign,1.5,1976,United States,NY,New York City,Graduate,JD,N,Georgetown University,N,N/A,
"Lee, Quentin",1,1971,M,Chinese (from Hong Kong),Asian,Hong Kong (British territory),N/A,N/A,N/A,Canada,,,Graduate,Master's,Y,University of California Los Angeles,N,N/A,
"Lee, Rose Hum",2,1904,F,Chinese,Asian,United States,Native,2,N/A,,,,Graduate,PhD,N,University of Chicago,,,
"Lee, Wen Ho",1,1939,M,Chinese (from Taiwan),Asian,Taiwan (Japanese colony) ,Foreign,1,1965,"Taiwan (Japanese colony), United States","TX, NM",Albuquerque,Graduate,PhD,N,Texas A&M University,N,N/A,
"Lee, Yan Phou",2,1861,M,Chinese,Asian,China,Foreign,1,1880,,,,,,,,,,
"Lee, Young Jean",1,1974,F,Korean,Asian,South Korea,Foreign,1.5,,United States,"NY, WA",New York City,Graduate,Master's,Y,Brooklyn College,N,N/A,"Guggenheim Fellowship, National Endowment for the Arts Fellowship"
"Lei, Brianna",1,,F,Chinese,Asian,,,,,,,,Undergraduate,Bachelor's,N,University of Southern California,N,N/A,
"Lei, Jeffrey",1,,,,,,,,,,,,,,,,,,
"Leong, Evan Jackson",1,,M,Chinese,Asian,United States,Native,,N/A,United States,CA,San Francisco,Undergraduate,Bachelor's,N,University of California Los Angeles,N,N/A,
"Leong, Monfoon",1,1916,M,Chinese,Asian,United States,Native,,N/A,United States,CA,"San Diego, San Jose, Oakland",Graduate,Master's,N,University of Minnesota,N,N/A,
"Leong, Russell",9,1950,M,Chinese,Asian,United States,Native,,N/A,United States,CA,,Graduate,Master's,Y,University of California Los Angeles,Y,University of California Los Angeles,
"Leung, Brian",1,1967,M,Chinese-Euro American,Multiracial Asian-White,United States,Native,,N/A,United States,"CA, IN",,Graduate,Master's,Y,Indiana University,Y,Purdue University,Jim Duggins Outstanding Mid-Career Novelist Prize Lambda Literary Foundation
"Li, Gladys Ling-Ai",1,1908,F,Chinese,Asian,United States,Native,,,"China, United States",HI,,Undergraduate,Bachelor's,N,University of Hawai'i,N,N/A,
"Li, Yiyun",3,1972,F,Chinese,Asian,China,Foreign,1,1996,"China, United States",,,Graduate,Master's,Y,University of Iowa,Y,Princeton University,"Whiting Award, MacArthur Fellowship, American Academy of Arts and Letters' Benjamin H. Danks Award, and more"
"Liang, Tsai Ming",1,1957,M,Chinese (from Malaysia),Asian,Malaysia,N/A,N/A,N/A,"Malaysia, Taiwan",,,Undergraduate,Bachelor's,N,Chinese Culture University,N,N/A,"Venice Film Festival Golden Lion, Berlin International Film Festival Silver Bear, Venice International Film Festival Prize, and more"
"Liem, Deann Borshay",5,1956,F,Korean,Asian,South Korea,Foreign,1.5,1966,"South Korea, United States",CA,,,,,,,,
"Light, Claire",1,,F,Chinese (from Hong Kong),Asian,Hong Kong,Foreign,,,"Hong Kong, China, United States","NY, AZ, OH, MI, CA",San Francisco,Graduate,Master's,Y,San Francisco State University,N,N/A,
"Lim, Genny",2,1946,F,Chinese,Asian,United States,Native,2,N/A,United States,CA,San Francisco,Graduate,Master's,N,San Francisco State University,Y,California Institute of Integral Studies,
"Lim, Paul Stephen",1,1944,M,Filipinx,Asian,Philippines (under Japanese occupation),Foreign,1,,United States,KS,,Graduate,Master's,N,University of Kansas,Y,University of Kansas,
"Lim, Shirley Geok-lin",9,1944,F,Chinese (from Malaysia),Asian,Malaysia (under Japanese occupation),Foreign,1,1969,"Malaysia (British colony), United States","MA, CA",,Graduate,PhD,N,Brandeis University,Y,University of California Santa Barbara,
"Limón, Martin",2,1948,M,,,,,,,United States,CA,,,,,,,,
"Lin-Liu, Jen",1,,F,Chinese,Asian,United States,Native,2,N/A,"United States, China, Cuba",CA,"New York City, Beijing, Havana",Graduate,Master's,N,Columbia University,N,N/A,
"Lin, Ed",1,1969,M,Chinese (from Taiwan),Asian,United States,Native,,N/A,United States,NY,New York City,Undergraduate,Bachelor's,N,Columbia University,N,N/A,
"Lin, Grace",3,1974,F,Chinese (from Taiwan),Asian,United States,Native,2,N/A,"United States, Canada","NY, MA",Montreal,Undergraduate,Bachelor's,N,Rhode Island School of Design,N,N/A,
"Lin, Justin",5,1971,M,Chinese (from Taiwan),Asian,Taiwan,Foreign,1.5,,United States,CA,Los Angeles,Graduate,Master's,Y,University of California Los Angeles,N,N/A,
"Lin, Tan",1,1957,M,Chinese,Asian,United States,Native,2,N/A,United States,OH,,Graduate,PhD,N,Columbia University,Y,Columbia University,"Mademoiselle Poetry Prize, Gertrude Stein Award for Innovative American Poetry, Bennett Cerf Award, and more"
"Lin, Tao",2,1983,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,"FL, NY",New York City,Undergraduate,Bachelor's,N,New York University,N,N/A,
"Lin, Yutang",4,1895,M,Chinese,Asian,China,Foreign,1,,,,,Graduate,PhD,N,University of Leipzig,N,N/A,
"Ling, Laura",1,,F,Chinese (from Taiwan and Hong Kong),Asian,United States,Native,2,N/A,United States,CA,Sacramento,Undergraduate,Bachelor's,N,University of California Los Angeles,N,N/A,
"Ling, Lisa",1,1973,F,Chinese (from Taiwan and Hong Kong),Asian,United States,Native,2,N/A,United States,CA,"Sacramento, Santa Monica",Some Undergraduate,High School Diploma,N,,N,N/A,
"Linmark, R. Zamora",4,,M,Filipinx,Asian,Philippines,Foreign,,,"Philippines, United States",HI,,Undergraduate,Bachelor's,N,University of Hawai'i,N,N/A,"Fulbright Fellowship, National Endowment for the Arts Fellowship"
"Lish, Atticus",1,,M,Euro American,White,,,,,United States,"NY, KY, MA","New York City, Boston",Undergraduate,Bachelor's,,,,,
"Liu, Aimee",2,1953,F,Chinese-Euro American,Multiracial Asian-White,United States,Native,3,N/A,United States,CA,Los Angeles,Graduate,Master's,Y,Bennington College,Y,Goddard College,
"Liu, Catherine",1,1964,F,Chinese (from Taiwan),Asian,Taiwan,Foreign,1.5,1968,United States,CA,Los Angeles,Graduate,PhD,N,Grad Center City University of New York,Y,University of California Irvine,
"Liu, Eric",3,1968,M,Chinese,Asian,United States,Native,2,N/A,,,,Graduate,JD,N,Harvard University,Y,University of Washington,
"Liu, Ken",2,1976,M,Chinese,Asian,China,Foreign,1.5,,"China, United States","CA, MA",Boston,Graduate,JD,N,Harvard University,N,N/A,
"Liu, Timothy",1,1965,M,Chinese,Asian,United States,Native,2,N/A,"United States, Hong Kong","CA, NY","San Jose, New York City",Graduate,Master's,N,University of Houston,Y,William Paterson University,
"Lloyd, Frank",1,1886,M,British,White,Scotland,Foreign,1,1913,"Scotland, Canada, United States",,,,,,,N,N/A,Oscar Best Director
"Lo, Steven C.",1,1949,M,Chinese (from Taiwan),Asian,Taiwan,Foreign,1,1972,United States,TX,,Graduate,Master's,N,Northwestern University,N,N/A,
"Lo, Wei",2,1918,M,Chinese,Asian,China,N/A,N/A,N/A,Hong Kong (British territory),,,,,,,N,N/A,
"Loewen, James W.",1,1942,M,Euro American,White,United States,Native,,N/A,,,,Graduate,PhD,N,Harvard University,Y,University of Vermont,
"Logan, Joshua",1,1908,M,Euro American,White,United States,Native,,N/A,United States,"TX, LA, NY",New York City,Undergraduate,Bachelor's,N,Princeton University,N,N/A,Pulitzer Prize
"Long, John Luther",1,1861,M,Euro American,White,United States,Native,,N/A,United States,PA,Philadelphia,,,,Lafayette College,N,N/A,
"Loti, Pierre",1,1850,M,French,White,France,N/A,N/A,N/A,France,N/A,Paris,,,N,,N,N/A,
"Louie, David Wong",3,,M,Chinese,Asian,,,,,,,,Graduate,Master's,Y,,,,Lannan Fellowship
"Lowe, Felicia",1,1946,F,Chinese,Asian,United States,Native,2,N/A,United States,CA,Oakland,Undergraduate,Bachelor's,N,San Jose State University,N,N/A,
"Lowe, Pardee",2,1904,M,Chinese,Asian,United States,Native,2,N/A,"China, United States",CA,"San Francisco, Oakland",Graduate,Master's,N,Harvard University,N,N/A,
"Lu, Pamela",1,1972,F,Chinese,Asian,United States,Native,,N/A,United States,CA,San Francisco,Undergraduate,Bachelor's,N,University of California Berkeley,N,N/A,
"Lum, Darrell H. Y.",2,1950,M,Chinese,Asian,United States,Native,,N/A,United States,"HI, OH","Honolulu, Cleveland",Graduate,PhD,N,University of Hawai'i Manoa,N,N/A,
"Lum, Wing Tek",2,1946,M,Chinese,Asian,United States,Native,,N/A,"Hong Kong (British territory), United States","HI, RI, NY","Honolulu, Providence, New York City",Graduate,Master's,N,Union Theological Seminary,N,N/A,
M.I.A.,1,1975,F,Tamil,Asian,United Kingdom,N/A,N/A,N/A,"Sri Lanka, United Kingdom",,London,Undergraduate,Bachelor's,N,Central Saint Martins College of Art and Design,N,N/A,"Billboard Music Award, BET Award, MTV Video Music Award, and more"
"Ma, Jerry",3,,M,Chinese (from Taiwan),Asian,,,,,United States,NY,New York City,,,,,,,
"Ma, Ling",3,1983,F,Chinese,Asian,China,Foreign,1.5,,"China, United States","UT, KS, IL, NY",Chicago,Graduate,Master's,Y,Cornell University,Y,"Cornell University, University of Chicago","MacArthur Fellowship, Whiting Award, NEA Creative Writing Fellowship, and more"
"MacKay, Santiago",1,1898,M,Panamanian,Latinx,Panama,N/A,N/A,N/A,,,,,,,,,,
"Magtoto, Liza",1,,F,Filipinx,Asian,,,,,,,,,,,,,,
"Mah, Adeline Yen",3,1937,F,Chinese,Asian,China,Foreign,1,,"China, Hong Kong (British territory), England,  United States",CA,"Shanghai, Tianjin",Graduate,MD,N,London Hospital Medical School,N,N/A,
"Mah, Ann",1,,F,Chinese,Asian,United States,Native,,N/A,"United States, Italy, France, China","NY, CA","New York City, Bologna, Paris, Beijing",Undergraduate,Bachelor's,N,University of California Los Angeles,N,N/A,
"Mandvi, Aasif",1,1966,M,Indian,Asian,India,Foreign,1,,"England, United States",FL,,Undergraduate,Bachelor's,N,University of South Florida,N,N/A,
"Manguerra-Brainard, Cecilia",2,1947,F,Filipinx,Asian,Philippines,Foreign,1,,"Philippines, United States",CA,Los Angeles,Some Graduate,Bachelor's,N,Maryknoll College,N,N/A,
"Mankell, Henning",1,1948,M,Swedish,White,Sweden,N/A,N/A,N/A,"Sweden, France, Mozambique",N/A,"Paris, Stockholm",Some High School,None,N,N/A,N,N/A,Astrid Lingren Prize
"Mar, M. Elaine",2,1966,F,Chinese (from Hong Kong),Asian,Hong Kong (British territory),Foreign,1.5,1971,"Hong Kong (British territory), United States",CO,Denver,Graduate,Master's,N,Harvard University,N,N/A,
"Mara, Rachna",1,1953,F,Indian,Asian,India,N/A,N/A,N/A,"India, Canada, England",,"London, Ottawa",Undergraduate,Bachelor's,N,University of Prince Edward Island,N,N/A,
"Massey, Sujata",1,1964,F,German-Indian,Multiracial Asian-White,England,Foreign,1.5,1969,"England, Japan, United States","MN, MD","St. Paul, Baltimore",Undergraduate,Bachelor's,N,Johns Hopkins University,N,N/A,
"Matsuda de Cristoforo, Violet Kazue",1,1917,F,Japanese,Asian,United States,Native,,N/A,"Japan, United States","HI, CA",,High School,High School Diploma,N,N/A,N,N/A,National Endowment for the Arts National Heritage Fellowship
"McCunn, Ruthanne Lum",5,1946,F,Chinese-Scottish,Multiracial Asian-White,,,,,"Hong Kong (British territory), United States","CA, TX","Austin, San Francisco",Undergraduate,Bachelor's,N,University of Texas Austin,N,N/A,
"McDougall, Brandy Nālani",1,,F,Chinese-Hawaiian-Scottish,Multiracial Asian-Pacific Islander-White,United States,Native,,N/A,United States,HI,,Graduate,PhD,Y,University of Hawai'i Manoa,Y,University of Hawai'i Manoa,"Academy of American Poets Laureate Fellowship, Hawai'i State Poet Laureate"
"Meehan, Thomas",1,1929,M,Euro American,White,United States,Native,,N/A,United States,,,Undergraduate,Bachelor's,N,Hamilton College,N,N/A,
"Mehta, Deepa",2,1950,F,Indian,Asian,India,N/A,N/A,N/A,"India, Canada",,,Undergraduate,Bachelor's,N,University of Delhi,N,N/A,
"Mehta, Rahul",1,,M,Indian,Asian,United States,Native,2,N/A,United States,"WV, PA, NY, NC","Philadelphia, New York City",Graduate,Master's,Y,Syracuse University,Y,University of the Arts,
"Mehta, Ved",3,1934,M,Punjabi (from India [British colony] [present-day Pakistan]),Asian,India (British colony) (present-day Pakistan),Foreign,1,1949,"India (British colony), England, United States","AR, CA, NY",,Graduate,Master's,N,Harvard University,,,MacArthur Fellowship
"Melville, Herman",2,1819,M,Euro American,White,United States,Native,,N/A,United States,"NY, MA","Boston, New York City",No High School,None,N,N/A,N,N/A,
"Meminger, Neesha",1,,F,Indian,Asian,India,Foreign,1.5,,"India, Canada, United States",NY,"New York City, Toronto",Graduate,Master's,Y,New School,Y,,
Mia Matsumiya,1,,F,,Asian,,,,,United States,CA,Los Angeles,,,,,,,
"Michener, James A.",1,1907,M,,,United States,Native,,N/A,"United States, Scotland","PA, CO",,Undergraduate,Bachelor's,N,Swarthmore College,Y,"Colorado State College of Education, Harvard University",
"Miller, Arthur",1,1915,M,Jewish,Jewish,United States,Native,,N/A,,,,Undergraduate,Bachelor's,N,University of Michigan,N,N/A,"Jerusalem Prize, Medal for Distinguished Contributions to American Letters, Gold Medal American Academy of Arts and Letters, and more"
"Min, Anchee",2,1957,F,Chinese,Asian,China,Foreign,1,1984,"China, United States",IL,Chicago,Graduate,Master's,Y,Art Institute of Chicago,N,N/A,
"Min, Yong Soon",1,1953,F,Korean,Asian,South Korea,Foreign,1.5,,"South Korea, United States",CA,"Monterey, Los Angeles",Graduate,Master's,Y,University of California Berkeley,Y,University of California Irvine,Anonymous Was A Woman Award
"Minatoya, Lydia",3,1950,F,Japanese,Asian,United States,Native,,N/A,,,,Graduate,PhD,N,University of Maryland,N,N/A,
"Minh-ha, Trinh T.",2,1952,F,Vietnamese,Asian,Vietnam (French colony),Foreign,1,1970,"South Vietnam, Japan, Senegal, United States",CA,,Graduate,PhD,N,University of Illinois Urbana-Champaign,Y,University of California Berkeley,"Guggenheim Fellowship, National Endowment for the Arts Fellowship"
"Mirikitani, Janice",2,1941,F,Japanese,Asian,United States,Native,3,N/A,United States,CA,,Undergraduate,Bachelor's,N,University of California Los Angeles,N,N/A,
"Mistry, Rohinton",1,1952,M,Indian,Asian,India,N/A,N/A,N/A,"India, Canada",,,Undergraduate,Bachelor's,N,"University of Bombay, University of Toronto",N,N/A,
Mixmaster Mike,1,1970,M,German-Filipinx,Multiracial Asian-Jewish,United States,Native,,N/A,United States,CA,"San Francisco, Sacramento",Some High School,None,N,N/A,N,N/A,DMC World Championship
"Miyake, Perry",1,,M,Japanese,Asian,United States,Native,3,N/A,United States,CA,,High School,High School Diploma,N,Venice High School,,,
"Miyatake, Toyo",1,1895,M,Japanese,Asian,Japan,Foreign,1,1909,United States,CA,Los Angeles,No High School,N/A,N,N/A,N,N/A,
"Miyazaki, Hayao",1,1941,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,Tokyo,Undergraduate,Bachelor's,N,Gakushuin University,N,N/A,"Oscar, Japanese Academy Lifetime Achievement Award, Kinema Junpo Award, and more"
"Momaday, N. Scott",2,1934,M,Kiowa,Native American,United States,Native,N/A,N/A,United States,"AZ, NM, OK, VA",,Graduate,PhD,N,Stanford University,Y,,"Guggenheim Fellowship, National Medal of Arts, American Academy of Arts and Letters Award"
"Monji, Jana",1,,F,Japanese,Asian,United States,Native,,N/A,,,,Graduate,Master's,N?,,N,N/A,
"Mootoo, Shani",3,1957,F,Indian,Asian,Ireland,N/A,N/A,N/A,"Trinidad, Canada",,"Vancouver, Toronto",Graduate,Master's,N,University of Guelph,Y,University of Toronto,
"Morales, Alejandro",1,,M,Mexican,Latinx,United States,Native,,N/A,United States,CA,,Graduate,PhD,N,Rutgers University,Y,University of California Irvine,
"Mori, Kyoko",2,1957,F,Japanese,Asian,Japan,Foreign,1,,"Japan, United States",,Kobe,Graduate,PhD,N?,University of Wisconsin--Milkwaukee,Y,"George Mason University, Lesley University",
"Mori, Toshio",9,1910,M,Japanese,Asian,United States,Native,2,N/A,United States,CA,,High School,High School Diploma,N,N/A,N,N/A,
"Morimura, Yasumasa",1,1951,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,Osaka,Undergraduate,Bachelor's,N,Kyoto City University of Art,,,
"Moromisato, Doris",1,1962,F,Japanese,Asian,Peru,N/A,N/A,N/A,Peru,N/A,Lima,,,N,Universidad Nacional Mayor de San Marcos,N,N/A,
"Morrison, Joan",1,1922,F,,,United States,Native,,N/A,United States,IL,Chicago,Undergraduate,Bachelor's,N,University of Chicago,Y,New School,
"Morrison, Toni",1,1931,F,African American,Black,United States,Native,,N/A,,,,Graduate,Master's,N,Cornell University,Y,Princeton University,"National Humanities Medal, Nobel Prize, Helmerich Distinguished Author Award, and more"
"Mote, Mary",1,,F,Euro American,White,,,,N/A,,,,,,,,,,
"Moua, Mai Neng",1,1974,F,Hmong,Asian,Laos,Foreign,1.5,1981,"Laos, United States",MN,Minneapolis,Some Graduate,Bachelor's,N,St. Olaf College,N,N/A,Bush Artist Fellowship
"Mukerji, Dhan Gopal",2,1890,M,Indian,Asian,India (British colony),Foreign,1,1910,"India (British colony), Japan, United States","CA, NY","San Francisco, New York City",Undergraduate,Bachelor's,N,Stanford University,N,N/A,Newbery Medal
"Mukherjee, Bharati",19,1940,F,Indian,Asian,India (British colony),Foreign,1,,"India (British colony), Canada, United States","IA, CA","Calcutta, Montreal, Toronto",Graduate,PhD,Y,University of Iowa,Y,University of California Berkeley,National Endowment for the Arts Fellowship
"Mun, Nami",1,,F,Korean,Asian,South Korea,Foreign,1.5,,"South Korea, United States",,"Seoul, New York City, Chicago",Graduate,Master's,Y,University of Michigan,Y,Loyola University Chicago,"Whiting Award, Yaddo Fellowship, MacDowell Fellowship, Illinois Arts Council Agency Artist Fellowship"
"Mura, David",10,1952,M,Japanese,Asian,United States,Native,3,N/A,United States,"IL, MN",Chicago,Graduate,Master's,Y,Vermont College of Fine Arts,Y,,
"Murakami, Sachiko",1,,F,Japanese,Asian,Canada,N/A,N/A,N/A,Canada,N/A,"Vancouver, Toronto",Graduate,Master's,Y,Concordia University,Y,University of Toronto,
"Murayama, Milton",3,1923,M,Japanese,Asian,United States,Native,2,N/A,United States,"HI, NY, CA",New York City,Graduate,Master's,N,Columbia University,N,N/A,
"Murray, Sabina",2,1968,F,Euro American-Filipinx,Multiracial Asian-White,United States,Native,,N/A,"Australia, Philippines, United States","MA, PA",,Graduate,Master's,Y,University of Texas,Y,University of Massachusetts Amherst,PEN Faulkner Award
