Title,Instances_of_Study,Author_Name,2_Author_Name,3_Author_Name,4_Author_Name,Publication_Year,Genre,Publisher,Text_Awards,NYT_Bestseller
Mele Kanikau,1,"Kneubuhl, John",,,,1975,Drama,Kumu Kahua Theatre,,N/A
Memories of My Ghost Brother,5,"Fenkl, Heinz Insu",,,,1996,Novel,Dutton Books,,N
Miles from Nowhere,1,"Mun, Nami",,,,2008,Novel,Riverhead,"Pushcart Prize, Chicago Public Library 21st Century Award",N
"Millicent Min, Girl Genius",1,"Yee, Lisa",,,,2003,Novel,Scholastic,,N
Miss India Georgia,1,"Friedman, Daniel","Grimberg, Sharon",,,1997,Film,Urban Life Productions,,N/A
Miss Orient(ed),1,"Aquino, Nina","Villasin, Nadine",,,2005,Drama,Teesri Duniya Theater,,N/A
Miss Saigon,3,"Schönberg, Claude-Michel","Boublil, Alain",,,1990,Drama,Theatre Royal,Tony Awards,N/A
Mississippi Masala,3,"Nair, Mira",,,,1991,Film,Samuel Goldwyn,"NAACP Image Award, Critics Special Award Sao Paulo International Film Festival, Golden Osella Venice International Film Festival",N/A
Mixixibihe de Qingsu,1,"Wuwu, Aku",,,,2008,Poetry,Zuojia Chubanshe,,N/A
Moana,1,"Musker, John","Clements, Ron",,,2016,Film,Walt Disney Studios,"BAFTA Award, Grammy Award, Annie Award, and more",N/A
Moby-Dick,2,"Melville, Herman",,,,1851,Novel,Harper & Brothers,,N/A
Mona in the Promised Land,6,"Jen, Gish",,,,1996,Novel,Alfred A. Knopf,,N
Monkey Bridge,3,"Cao, Lan",,,,1997,Novel,Penguin,,N
Monkey Hunting,1,"Garcia, Cristina",,,,2003,Novel,Alfred A. Knopf,,N
Monkey King,1,"Chao, Patricia",,,,1997,Novel,Harper Perennial,,N
Mononoke-hime (Princess Mononoke),1,"Miyazaki, Hayao",,,,1997,Film,Toho,"Kinema Junpo Award, Hochi Film Award, Mainichi Film Concourse Award, and more",N/A
Monte de Venus,1,"Roffé, Reina",,,,1976,Novel,Ediciones Corregidor,,N
Mosquito and Ant,1,"Hahn, Kimiko",,,,1999,Poetry,W.W. Norton and Co.,,N/A
Mother Tongue,1,"Lim, Paul Stephen",,,,1988,Drama,East West Players,,N/A
Mother Tongue,2,"Quan, Betty",,,,1995,Drama,Firehall Arts Centre,,N/A
Motherland,1,"Vijayaraghavan, Vineeta",,,,2001,Novel,Soho Press,,N
Motiba's Tattoos,1,"Kamdar, Mira",,,,2000,Prose Nonfiction,PublicAffairs,,N/A
Mrs. Spring Fragrance,7,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
Mua Dat La,1,"Hang, Tran Dieu",,,,1986,,Viet Publications,,
Mulan,2,"Bancroft, Tony","Cook, Barry",,,1998,Film,Buena Vista Pictures,"Annie Awards, Bogey Award, BMI Film & TV Award",N/A
My America … or Honk if You Love Buddha,1,"Tajima-Peña, Renee",,,,1997,Film,PBS,"Eastman Kodak Award Sundance Film Festival, Best Overall Documentary Athens International Film Festival",N/A
My Chinese Marriage,1,"Porter, Katherine Ann",,,,1921,Prose Nonfiction,Duffield and Company,,N/A
My Country Versus Me: The First-Hand Account by the Los Alamos Scientist Who Was Falsely Accused of Being a Spy,1,"Lee, Wen Ho","Zia, Helen",,,2001,Prose Nonfiction,Hyperion,,N/A
My Name Is Yoon,1,"Recorvits, Helen",,,,2003,Graphic Narrative,"Farrar, Straus, & Giroux",,N/A
My Own Country: A Doctor's Story of a Town and Its People in the Age of AIDS,2,"Verghese, Abraham",,,,1994,Prose Nonfiction,Simon & Schuster,,N/A
My Several Worlds,1,"Buck, Pearl",,,,1954,Prose Nonfiction,John Day Company,,N
My Three Sons,1,"Fedderson, Don",,,,1960-1972,Television,"ABC, CBS",,N/A
My Year of Meats,8,"Ozeki, Ruth",,,,1998,Novel,Viking,Kiriyama Prize,N
Naked Earth,1,"Chang, Eileen",,,,1976,Novel,New York Review Books,,N
Name Me Nobody,1,"Yamanaka, Lois-Ann",,,,1999,Novel,Hyperion,,N
Nami-Ko,1,,,,,1917,,,,
Nampally Road,2,"Alexander, Meena",,,,1991,Novel,Mercury House,,N
Nanjing Requiem,1,"Jin, Ha",,,,2011,Novel,Pantheon,,N
Native Speaker,28,"Lee, Chang-rae",,,,1995,Novel,Riverhead Books,"PEN Hemingway Award, American Book Award",N
Nearing a Horizon,1,"Hong, Ee Tiang",,,,,Poetry,UniPress,,N/A
Neo quyen ca,1,"Huong, Vu Quynh",,,,,Short Story(ies),Van Hoc (magazine),,N/A
Neuromancer,1,"Gibson, William",,,,1984,Novel,Ace,"Hugo Award, Nebula Award",N
Never Forever,1,"Kim, Gina",,,,2007,Film,Arts Alliance,,N/A
Never Let Me Go,1,"Ishiguro, Kazuo",,,,2005,Novel,Knopf,,N
New Year Baby,1,"Poeuv, Socheata",,,,2006,Film,ITVS/Corporation for Public Broadcasting,"Movies that Matter Human Rights Award, Special Jury Award Asian American International Film Festival, Best Documentary AFI Dallas International Film Festival, and more",N/A
New York's Chinatown,1,"Beck, Louis Joseph",,,,1898,Prose Nonfiction,Bohemia Pub. Co.,,N/A
Night Sky with Exit Wounds,1,"Vuong, Ocean",,,,2016,Poetry,Copper Canyon Press,T. S. Eliot Prize,N/A
Nisei Daughter,6,"Sone, Monica",,,,1953,Prose Nonfiction,"Little, Brown",,N/A
Nisei Parade,1,"Serisawa, Ikuo","Serisawa, Sueo",,,1934,Film,,,N/A
Nishizumi senshachoden,1,"Yoshimura, Kozaburo",,,,1936,Film,Shochiku,,N/A
No Chinese Stranger,1,"Wong, Jade Snow",,,,1975,Prose Nonfiction,Harper & Row,,N/A
No Other World,1,"Mehta, Rahul",,,,2017,Novel,Harper,,N
No-No Boy,14,"Okada, John",,,,1957,Novel,Charles E. Tuttle,,N
Noli Me Tangere,1,"Rizal, José",,,,1887,Novel,Berliner Buchdruckerei-Aktiengesellschaft,,N/A
North Carolina Parade,1,"Walser, Richard","Street, Julia Montgomery",,,1966,Prose Nonfiction,University of North Carolina Press,American Association of University Women Award,N/A
Number One Son,1,"Leong, Monfoon",,,,1975,Short Story(ies),East/West Publishing,,N
Obaachan's Garden,1,"Ohama, Linda",,,,2001,Film,National Film Board of Canada,"Vancouver Film Festival Audience Choice Award, Newport Beach Film Festival Audience Choice Award, Turin International Film Festival Audience Choice Award",N/A
Obasan,19,"Kogawa, Joy",,,,1981,Novel,David R. Godine,American Book Award,N
Ocean Roads,1,"George, James",,,,2006,Novel,Huia,,N
Of Customs and Excise,1,"Mara, Rachna",,,,1991,Short Story(ies),Second Story Press,,N
Office Hour,1,"Cho, Julia",,,,2016,Drama,,,N/A
Oldboy [올드보이],1,"Park, Chanwook",,,,2003,Film,Show East,"Korean Film Award, Hong Kong Film Award, Grand Prix Cannes Film Festival, and more",N/A
On Becoming Filipino,1,"Bulosan, Carlos",,,,,Short Story(ies)/Prose Nonfiction/Poetry,Temple University Press,,N/A
On Cannibalism,1,"Rony, Fatimah Tobing",,,,1994,Film,,,N/A
On Gold Mountain,1,"See, Lisa",,,,1995,Prose Nonfiction,St. Martin's Press,,N/A
On Such a Full Sea,4,"Lee, Chang-rae",,,,2014,Novel,Riverhead,,N
On Taiwan [台湾論],1,"Kobayashi, Yoshinori",,,,2000,Graphic Narrative,Shogakukan,,N/A
Once the Shore,1,"Yoon, Paul",,,,2009,Short Story(ies),Sarabande Books,,N
Once upon a Dream: The Vietnamese-American Experience,1,"Tran, De",,,,1995,Anthology,Andrews McNeel,,N/A
One Hundred Demons,4,"Barry, Lynda",,,,2002,Graphic Narrative,Sasquatch Books,,N/A
Oranges are Lucky,1,"Lum, Darrell H. Y.",,,,1976,Drama,"Kumu Kahua, Leeward Community College",,N/A
Oriental Girls Desire Romance,1,"Liu, Catherine",,,,1997,Novel,Kaya Press,,N
Osadda's Revenge,1,"Hartmann, Sadakichi",,,,1890,Drama,,,N/A
Osato-San,1,Nagahara Shōson,,,,1925,Novel,The Rafu Shimpo (newspaper),,N/A
Other Women,1,"Lau, Evelyn",,,,1995,Novel,Simon & Schuster,,N
Our Town,1,"Wilder, Thornton",,,,1938,Drama,McCarter Theater,Pulitzer Prize,N/A
Out of the Blue,1,"Wong, Jan",,,,2012,Prose Nonfiction,self-published,,N/A
Outsourced,1,"Borden, Robert",,,,2010-2011,Television,NBC,,N/A
Pacific Rim,1,"Toro, Guillermo del",,,,2013,Film,Warner Bros.,"Hollywood Film Award Best Visual Effects, Las Vegas Film Critics Society Best Horror/Sci-Fi Film",N/A
"Pamela, or, Virtue Rewarded",1,"Richardson, Samuel",,,,1740,Novel,C Rivington,,N/A
pamela: a novel,1,"Lu, Pamela",,,,1999,Novel,Atelos,,N
Pangs of Love,1,"Louie, David Wong",,,,1991,Short Story(ies),Knopf,,N
Pangs of Love and Other Stories,3,"Gardam, Jane",,,,1983,Short Story(ies),Hamish Hamilton Ltd.,,N
Paper Angels,1,"Lim, Genny",,,,1980,Drama,Asian American Theater Company,,N/A
Paper Daughter,2,"Mar, M. Elaine",,,,1999,Prose Nonfiction,HarperCollins,,N/A
Paper Shadows: A Chinatown Childhood,1,"Choy, Wayson",,,,1999,Prose Nonfiction,Viking,,N/A
Paradise,1,"Morrison, Toni",,,,1998,Novel,Alfred A. Knopf,,Y
Paramount on Parade,1,"Goulding, Edmund",,,,1930,Film,Paramount Pictures,,N/A
"Part Asian, 100% Hapa",1,"Fulbeck, Kip",,,,2006,Photography,Chronicle Books,,N/A
Perfume Dreams,1,"Lam, Andrew",,,,2005,Prose Nonfiction,Heyday,PEN Open Book Award,N/A
Personal Days,1,"Park, Ed",,,,2008,Novel,Random House,,N
Pet Food and Tropical Apparitions,1,"Hagedorn, Jessica",,,,1975,Poetry,Momo's Press,,N/A
Phoenix Eyes,2,"Leong, Russell",,,,2000,Short Story(ies),University of Washington Press,,N
Picture Bride,2,"Hatta, Kayo",,,,1995,Film,Miramax Films,Sundance Film Festival Audience Award,N/A
Picture Bride,2,"Song, Cathy",,,,1983,Poetry,Yale University Press,Yale Series of Younger Poets Award,N/A
Picture Bride,1,"Uchida, Yoshiko",,,,1987,Novel,University of Washington Press,,N
Pigs in Heaven,1,"Kingsolver, Barbara",,,,1993,Novel,HarperCollins,,Y
Pioneer Girl,1,"Nguyen, Bich Minh",,,,2014,Novel,Viking,,N
Pippin,1,"Hirson, Roger O.",,,,1972,Drama,Imperial Theater,Tony Award,N/A
Pirated!,1,"Nguyen, Tan Hoang",,,,2000,Film,,,N/A
Plain Language from Truthful James',1,"Harte, Bret",,,,1870,Poetry,The Overland Monthly Magazine,,N/A
Planet Hulk,1,"Pak, Greg",,,,2006-2007,Graphic Narrative,Marvel Comics,,N/A
Poems of the Chinese Revolution,1,"Tsiang, H. T.",,,,1929,Poetry,self-published,,N/A
Porcelain,2,"Yew, Chay",,,,1997,Drama,Etcetera Theatre,Best Play London Fringe Festival,N/A
Portraits of a Young Girl,1,"Chen, Betty Yao-jung",,,,1970,Film,,,N/A
Preparation for the Next Life,1,"Lish, Atticus",,,,2014,Novel,Tyrant Books,PEN/Faulkner Award for Fiction,N
Pretty to Think So,1,"Hahn, Steven",,,,2008,Film,Omerice Works,,N/A
Quicksand,1,"Larsen, Nella",,,,1928,Novel,Knopf,,N/A
Quiet Odyssey,1,"Lee, Mary Paik",,,,1990,Prose Nonfiction,University of Washington Press,,N/A
Radiant Silhouette,1,"Yau, John",,,,1989,Poetry,Black Sparrow Press,,N/A
Rage of Yesteryear [昨日之怒],1,"Xiguo, Zhang",,,,1978,Novel,Hongfan,,N
Ramble-Ations: A One D'Lo Show,1,D'Lo,,,,,Drama,,,N/A
Rap's Hawaii,1,"Reiplinger, Rap",,,,1982,Television,Mountain Apple Company,Emmy Award,N/A
Rapa Nui,1,"Reynolds, Kevin",,,,1994,Film,Warner Brothers,,N/A
Re Jane,1,"Park, Patricia",,,,2015,Novel,Viking,American Library Association Award,N
Rebuild,1,"Murakami, Sachiko",,,,2011,Poetry,Talonbooks,,N/A
Red Azalea,2,"Min, Anchee",,,,1994,Prose Nonfiction,Pantheon Books,,N/A
Red Doors,1,"Lee, Georgia",,,,2005,Film,Polychrome Pictures,"Best Narrative Feature Award Tribeca Film Festival, Grand Jury Award Outfest",N/A
Red Scarf Girl,1,"Jiang, Ji-Li",,,,1997,Prose Nonfiction,Harper Collins,,N/A
Remember the House,1,"Rau, Santha Rama",,,,1956,Novel,Harper,,Y
Resilience,1,"Tolle, Tammy Chu",,,,2009,Film,,"Best Documentary Asian Film Festival of Dallas, Best Documentary Feature DC APA Film Festival, Asian Network of Documentary Award Pusan International Film Festival, and more",N/A
Rhapsody in Plain Yellow,1,"Chin, Marilyn",,,,2002,Poetry,Norton,,N/A
Rice Boy,1,"Kuruvilla, Sunil",,,,2001,Drama,The Actors' Gang,,N/A
Ringu [リング],1,"Nakata, Hideo",,,,1998,Film,National Asian American Telecommnications Association,Emmy Award,N/A
Rising Sun,3,"Kaufman, Philip",,,,1993,Film,20th Century Fox,,N/A
Robot Stories,2,"Pak, Greg",,,,2003,Film,Pak Film,,N/A
Rolling the R's,4,"Linmark, R. Zamora",,,,1995,Novel,Kaya Press,,N
Rose,3,"Lee, Li-Young",,,,1986,Poetry,BOA Editions,,N/A
Runaway: Diary of a Street Kid,2,"Lau, Evelyn",,,,1989,Prose Nonfiction,HarperCollins,,N/A
Rush Hour 2,1,"Ratner, Brett",,,,2001,Film,New Line Cinema,,N/A
Sa-i-gu,2,"Kim-Gibson, Dai Sil","Choy, Christine",,,1993,Film,,,N/A
Saints,1,"Yang, Gene Luen",,,,2013,Graphic Narrative,First Second Books,Los Angeles Times Book Prize,N/A
Sakina's Restaurant,1,"Mandvi, Aasif",,,,1997,Drama,American Place Theater,Obie Award,N/A
Salt Fish Girl,4,"Lai, Larissa",,,,2002,Novel,Thomas Allen Publishers,,N
Same Difference,1,"Kim, Derek Kirk",,,,2004,Graphic Narrative,self-published,,N/A
Sang qing yu tao hong,5,"Nieh, Hualing",,,,1976,Novel,Beacon Press,American Book Award,N
Saturday Night at the Pahala Theater,1,"Yamanaka, Lois-Ann",,,,1993,Poetry,Bamboo Ridge Press,Pushcart Prize,N/A
Saving Face,2,"Wu, Alice",,,,2005,Film,Sony Pictures Classics,"San Diego Asian Film Festival Visionary Award, San Francisco International Asian American Film Festival Best Narrative, Golden Horse Award",N/A
Sayonara,1,"Logan, Joshua",,,,1957,Film,Warner Brothers,Academy Award,N/A
Scent of Apples,1,"Santos, Bienvenido",,,,1979,Short Story(ies),University of Washington Press,American Book Award,N
Searching for Nei Nim'anoa,1,"Teaiwa, Teresia",,,,1995,Poetry,Mana Publications,,N/A
Second Primary Language Book,1,"Reimold, Orlando Schairer",,,,1914,Other,World Book Company,,N/A
Secret Daughter,1,"Gowda, Shilpi Somaya",,,,2010,Novel,William Morrow,,N
Secret Identities: The Asian American Superhero Anthology,3,"Yang, Jeff","Shen, Parry","Chow, Keith","Ma, Perry",2009,Anthology,The New Press,,N/A
Seediq Bale [賽德克・巴萊 ],1,"Wei, Te-sheng",,,,2011,Film,Vie Vision Pictures,"Golden Horse Award, China Film Director's Guild Award, Asia Pacific Screen Award, and more",N/A
Sent for You Yesterday,1,"Wideman, John",,,,1983,Novel,Avon Books,,N
Serve the People: A Stir-Fried Journey Through China,1,"Lin-Liu, Jen",,,,2008,Prose Nonfiction,Harcourt Houghton Mifflin,,N/A
Sesang pak ŭro naoda [Escape from Camp 14],1,"Sin, Tong-hyŏk","Harden, Blaine",,,2007,Prose Nonfiction,Viking,,N/A
Seventeen Syllables,2,"Yamamoto, Hisaye",,,,1988,Short Story(ies),Kitchen Table: Women of Color Press,,N
Severance,3,"Ma, Ling",,,,2018,Novel,"Farrar, Straus, and Giroux","Kirkus Prize, New York Public Library Young Lions Fiction Award",N
Shallow Graves: Two Women in Vietnam,1,"Nga, Tran Thi","Larsen, Wendy Wilder",,,,Poetry,Random House,,N/A
She of the Mountains,1,"Shraya, Vivek",,,,2014,Novel,Arsenal Pulp Press,,N
"Shine, Coconut Moon",1,"Meminger, Neesha",,,,2009,Novel,McElderry,,N
Shizuko's Daughter,1,"Mori, Kyoko",,,,1999,Novel,Pantheon,"Nationa Book Award, PEN/Faulkner Award",N
Shogun Macbeth,1,"Briggs, John R.",,,,1986,Drama,Pan Asian Repetory Theater,,N/A
Shopping for Fangs,1,"Lin, Justin","Lee, Quentin",,,1997,Film,Margin Films,,N/A
Shortcomings,2,"Tomine, Adrian",,,,2007,Graphic Narrative,Drawn & Quarterly,,N/A
Shrimp,1,"Golding, Dominic Hong Duc",,,,2007,Drama,Melbourne Arts Festival,,N/A
Singkil,1,"Hernandez, Catherine",,,,2007,Drama,Factory Studio Theatre,,N/A
Sixteen Candles,1,"Hughes, John",,,,1984,Film,Universal Pictures,,N/A
Skim,1,"Tamaki, Mariko","Tamaki, Jillian",,,2008,Graphic Narrative,Groundwood Books,Best Book Doug Wright Awards,N/A
Slanted Screen,1,"Adachi, Jeff",,,,2006,Film,,,N/A
Sleepwalker,1,"Ho, Laura",,,,1971,Film,,,N/A
Slicky Boys,1,"Limón, Martin",,,,1997,Novel,Bantam Books,,N
Snow Flower and the Secret Fan,1,"See, Lisa",,,,2005,Novel,Random House,,N
So Far from God,1,"Castillo, Ana",,,,1993,Novel,W. W. Norton & Company,,N
So Far from the Bamboo Grove,1,"Watkins, Yoko Kawashima",,,,1986,Prose Nonfiction,Beech Tree,,N/A
Soft Science,1,"Choi, Franny",,,,2019,Poetry,Alice James Books,Elgin Award,N/A
Solitaire,1,"Liu, Aimee",,,,1979,Prose Nonfiction,Harper & Row,,N/A
Some Questions for 28 Kisses,1,"Fulbeck, Kip",,,,1994,Film,Seaweed Productions,,N/A
Somewhere Inside,1,"Ling, Lisa","Ling, Laura",,,2010,Prose Nonfiction,William Morrow,,N/A
Song of Ariran,1,"Wales, Nym","San, Kim",,,1941,Prose Nonfiction,Ramparts Press,,N/A
Songs of Gold Mountain,1,"Hom, Marlon",,,,1987,Poetry,University of California Press,American Book Award,N/A
Songs of the Dragons Flying to Heaven,1,"Lee, Young Jean",,,,2006,Drama,HERE Arts Center,,N/A
Sound-Shadows of the New World,1,"Mehta, Ved",,,,1985,Prose Nonfiction,Norton,,N/A
Southland,1,"Revoyr, Nina",,,,2003,Novel,Akashic,Asian American Literary Award,N/A
Spellbound,1,"Blitz, Jeffrey",,,,2002,Film,ThinkFilm,"SXSW Film Festival Award, Cleveland International Film Festival Award, Melbourne International Film Festival Award, and more",N/A
Spider Eaters: A Memoir,1,"Yang, Rae",,,,1997,Prose Nonfiction,University of California Press,,N/A
Splendor,1,"Araki, Gregg",,,,1995,Film,Samuel Goldwyn Films,,N/A
"Spring, Summer, Fall, Winter, and . . . Spring [봄 여름 가을 겨울 그리고 봄]",1,"Kiduk, Kim",,,,2003,Film,Cineclick Asia,,N/A
Stanford Wong Flunks Big-Time,1,"Yee, Lisa",,,,2005,Novel,Scholastic,,N
Star Waka,1,"Sullivan, Robert",,,,1999,Poetry,Auckland University Press,,N/A
Stealing Buddha's Dinner,3,"Nguyen, Bich Minh",,,,2007,Prose Nonfiction,Viking,PEN Jerard Award,N/A
Still Life with Rice,1,"Lee, Helie",,,,1996,Prose Nonfiction,Scribner,,N/A
Strawberry Road,1,"Ishikawa, Yoshimi",,,,1991,Prose Nonfiction,Kodansha,,N/A
Suburban Sahibs,1,"Kalita, Mitra",,,,2003,Prose Nonfiction,Rutgers University Press,,N/A
Suicide Club,1,"Heng, Rachel",,,,2018,Novel,Henry Holt,,N
Sun,1,"Lum, Darrell H. Y.",,,,1980,Short Story(ies)/Drama,Bamboo Ridge Press,,N
Surname Viet Given Name Nam,2,"Minh-ha, Trinh T.",,,,1989,Film,,,N/A
Survivors,1,"Okazaki, Steven",,,,1982,Film,WGBH Boston,,N/A
sybil unrest,1,"Lai, Larrisa","Wong, Rita",,,2008,Poetry,New Star Books,,N/A
Sympathy for Mr. Vengeance [복수는 나의 것],1,"Park, Chanwook",,,,2002,Film,CJ Entertainment,,N/A
Taipei,2,"Lin, Tao",,,,2013,Novel,Vintage,,N
Tales from Firozsha Baag,1,"Mistry, Rohinton",,,,1987,Short Story(ies),Penguin Books Canada,,N
Tales from Outer Suburbia,2,"Tan, Shaun",,,,2008,Graphic Narrative,Arthur A. Levine Books,,N/A
Tales from the Fractured Tao with Master Nice Guy,1,"Kwong, Dan",,,,1991,Drama,East West Players,,N/A
Tales of the South Pacific,1,"Michener, James A.",,,,1947,Short Story(ies),Macmillan,Pulitzer Prize,N
Talking to High Monks in the Snow,2,"Minatoya, Lydia",,,,1992,Prose Nonfiction,HarperCollins,PEN Jerard Fund Award,N/A
Talking to the Dead,1,"Watanabe, Sylvia",,,,1992,Prose fiction,Doubleday,O. Henry Award,N
Tanka and Haikai,1,"Hartmann, Sadakichi",,,,1916,Poetry,Author's Edition,,N/A
Tea,3,"Houston, Velina Hasu",,,,1987,Drama,Manhattan Theater Club,,N/A
Tea that Burns,1,"Hall, Bruce",,,,1998,Prose Nonfiction,Free Press,,N/A
Tea with Milk,1,"Say, Allen",,,,1999,Children's Book,Houghton Mifflin,,N/A
"Teach me to Fly, Skyfighter! and other Stories",1,"Yee, Paul",,,,1983,Short Story(ies),James Lorimer,,N
Teenage Apocalypse Trilogy,1,"Araki, Gregg",,,,1993-1997,Film,Strand Releasing,,N/A
Tender,1,"Chan, Celeste",,,,2018,Anthology,Foglifter Press,,N
The Accidental Asian,3,"Liu, Eric",,,,1998,Prose Nonfiction,Random House,,N/A
The Alice B. Toklas Cook Book,1,"Toklas, Alice B.",,,,1954,Prose Nonfiction,Harper ,,N/A
The America That I See,1,"Ki'ichi, Hosaka",,,,1913-1914,Novel,Yubundo,,
The American Diary of a Japanese Girl,1,"Noguchi, Yone",,,,1901,Novel,Frederick A. Stokes,,N/A
The Architecture of Loss,1,"Cho, Julia",,,,2003,Drama,New York Theatre Workshop,,N/A
The Arrival,2,"Tan, Shaun",,,,2006,Graphic Narrative,Hodder Children's Books,,N/A
The Art of Waiting,1,"Shin, Rob",,,,1991,Drama,Round House Theatre,Kennedy Center National Student Playwriting Award,N/A
The Artist's Daughter,1,"Hahn, Kimiko",,,,2002,Poetry,W.W. Norton and Co.,,N/A
The Astonishing Color of After,1,"Pan, Emily X. R.",,,,2018,Novel,"Little, Brown Books","Asian/Pacific American Award for Literature, Walter Dean Myers Honor Award",N
The Barbarians Are Coming,2,"Louie, David Wong",,,,2000,Novel,Putnam,,N
The Bean Trees,1,"Kingsolver, Barbara",,,,1988,Novel,Harpers & Row,,N
The Best We Could Do,2,"Bui, Thi",,,,2017,Graphic Narrative,Abrams ComicArts,"2018 American Book Award, 2018 Ringo Award for Best Non-fiction Comic Work, 2018 Pop Culture Classroom Excellence in Graphic Literature Mosaic Award",N/A
The Big Aiiieeeee!,2,"Chan, Jeffery Paul","Chin, Frank","Inada, Lawson Fusao","Wong, Shawn",1991,Anthology,Meridian ,,N/A
The Big Boss or Fists of Fury [唐山大兄],1,"Lo, Wei",,,,1971,Film,Golden Harvest,,N/A
The Birth of a Nation,2,"Griffith, D. W.",,,,1915,Film,Epoch Producing Company,,N/A
The Bitter Tea of General Yen,1,"Capra, Frank",,,,1933,Film,Columbia Pictures,,N/A
The Boat,2,"Le, Nam",,,,2008,Short Story(ies),Alfred A. Knopf,"Dylan Thomas Prize, Prime Minister's Literary Award, PEN/Malamud Award, and more",N
The Bonesetter's Daughter,1,"Tan, Amy",,,,2001,Novel,G. P. Putnam's Sons,,Y
The Book of Change,1,"Chang, Eileen",,,,,Novel,,,N
The Book of Salt,4,"Truong, Monique",,,,2003,Novel,Houghton Mifflin,PEN Robert W. Bingham Prize,N
The Book of Unknown Americans,1,"Henríquez, Cristina",,,,2014,Novel,Knopf,,N
The Buddha in the Attic,1,"Otsuka, Julie",,,,2011,Novel,Knopf,"PEN/Faulkner Award for Fiction, Langum Prize for American Historical Fiction",N
The Calcutta Chromosome,1,"Ghosh, Amitav",,,,1995,Novel,Avon Books,Arthur C. Clarke Award,N
The Care Divas,1,"Magtoto, Liza",,,,2010,Drama,Philippine Educational Theater Association,,N/A
The Cheat,1,"DeMille, Cecil B.",,,,1915,Film,Paramount Pictures,,N/A
The Chickencoop Chinaman,12,"Chin, Frank",,,,1972,Drama,The American Place Theatre,,N/A
The Chinese Connection or Fist of Fury [精武门],1,"Lo, Wei",,,,1972,Film,Golden Harvest,,N/A
The Chinese in the United States of America,1,"Lee, Rose Hum",,,,1960,Prose Nonfiction,Oxford University Press,,N/A
The Chinese Written Character as a Medium for Poetry,3,"Fenollosa, Ernest",,,,1936,Prose Nonfiction,City Light Books,,N/A
The City in Which I Love You,1,"Lee, Li-Young",,,,1990,Poetry,BOA Editions,,N/A
The Cleaving,1,"Lee, Li-Young",,,,1990,Poetry,BOA Editions,,N/A
The Collector,1,"Fowles, John",,,,1963,Novel,"Little, Brown and Co.",,Y
The Colors of Desire,1,"Mura, David",,,,1995,Poetry,Doubleday,,N/A
The Concubine's Children,1,"Chong, Denise",,,,1995,Prose Nonfiction,Penguin,,N/A
The Country of Dreams and Dust,1,"Leong, Russell",,,,1994,Poetry,West End Press,,N/A
The Crazed,1,"Jin, Ha",,,,2002,Novel,Pantheon,,N
The Crimson Kimono,1,"Fuller, Samuel",,,,1959,Film,Columbia Pictures,,N/A
The Cry and the Dedication,1,"Bulosan, Carlos",,,,,Novel,Temple University Press,,N
The Dance and the Railroad,2,"Hwang, David Henry",,,,1981,Drama,Joseph Papp Public Theater,,N/A
The Debut,2,"Cajayon, Gene",,,,2003,Film,Celestial Pictures,,N/A
The Dharma Bums,1,"Kerouac, Jack",,,,1958,Novel,Viking,,N
The Diary of a Teenage Girl: Kim Series,1,"Carlson, Melody",,,,"2005, 2006",Novel,The Crown Publishing Group,,N
The Disinherited,1,"Ong, Han",,,,2004,Novel,"Farrar, Straus, and Giroux",,N
The Donna Reed Show,1,"Roberts, William",,,,1958-1966,Television,ABC,,N/A
The Doom Generation,1,"Araki, Gregg",,,,1995,Film,Trimark Pictures,,N/A
The Dream of Water,1,"Mori, Kyoko",,,,1994,Prose Nonfiction,Henry Holt & Company,,N/A
The Drifting Avenger [Koya No Toseinin],1,"Sato, Junya",,,,1968,Film,Toei Company,,N/A
The Electrical Field,1,"Sakamoto, Kerri",,,,1998,Novel,Center for Asian American Media,,N
The Farewell,1,"Wang, Lulu",,,,2019,Film,A24,Independent Spirit Award Best Feature,N/A
The Fifth Book of Peace,5,"Kingston, Maxine Hong",,,,2003,Prose Nonfiction,Alfred A. Knopf,,N/A
The First Year Book,1,"Fee, Mary Helen",,,,1907,Textbook,World Book Company,,N/A
The Floating World,1,"Kadohata, Cynthia",,,,1989,Novel,Viking,,N
The Flower Drum Song,3,"Lee, Chin Yang",,,,1957,Novel,"Farrar, Straus, and Cudahy",,Y
The Fly,1,"Cronenberg, David",,,,1986,Film,20th Century Fox,,N/A
The Foreign Student,4,"Choi, Susan",,,,1998,Novel,Harper Perennial,"Asian American Literature Award, Steven Turner Award",N
The Fruit 'n Food,1,"Chang, Leonard",,,,1996,Novel,Black Heron Press,,N
The Gangster of Love,3,"Hagedorn, Jessica",,,,1996,Novel,Houghton Mifflin,,N
the gangster we are all looking for,4,lê thị điễm thúy  ,,,,2003,Novel,Knopf,,N
The Girl from Purple Mountain,1,"Chai, May-Lee","Chai, Winberg",,,2001,Prose Nonfiction,St. Martin's,,N/A
The Glass Mountains,1,"Kadohata, Cynthia",,,,1995,Novel,White Wolf Pub,,N
The Golden Gate,1,"Seth, Vikram",,,,1986,Novel,Random House,,N
The Good Earth,1,"Buck, Pearl",,,,1931,Novel,John Day Company,Pulitzer Prize,Y
