The Index of Major Literary Prizes in the US – Post45 Data Collective,,,,,,,,,,,,,,,,
full_name,gender,mfa_degree,role,prize_year,prize_name,prize_amount,prize_institution,prize_type,prize_genre,author_wikidata,author_viaf,author_lccn,elite_institution,graduate_degree,stegner,title_of_winning_book
A. R. Gurney,male,Yale University,judge,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q328627,84234746,n50020353,,graduate,,
A. R. Gurney,male,Yale University,judge,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q328627,84234746,n50020353,,graduate,,
A. R. Gurney,male,Yale University,judge,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q328627,84234746,n50020353,,graduate,,
A. R. Gurney,male,Yale University,judge,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q328627,84234746,n50020353,,graduate,,
Philip B. Williams,male,Washington University in St. Louis,winner,2013,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,Q60607911,,,,graduate,,
Matthew Nienow,male,University of Washington,winner,2013,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,,,,,graduate,,
Mark Strand,male,University of Iowa,judge,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q928775,49272680,n79090257,Yale University,graduate,,
Mark Strand,male,University of Iowa,judge,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q928775,49272680,n79090257,Yale University,graduate,,
Mark Strand,male,University of Iowa,judge,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q928775,49272680,n79090257,Yale University,graduate,,
Mark Strand,male,University of Iowa,judge,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q928775,49272680,n79090257,Yale University,graduate,,
Mark Strand,male,University of Iowa,judge,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q928775,49272680,n79090257,Yale University,graduate,,
Juan Felipe Herrera,male,University of Iowa,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q15460625,163755002,n79033227,Stanford University,graduate,,
Juan Felipe Herrera,male,University of Iowa,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q15460625,163755002,n79033227,Stanford University,graduate,,
Philip Levine,male,University of Iowa,winner,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q531273,110361442,n78093573,Stanford University,graduate,Stegner,
Charles Wright,male,University of Iowa,judge,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2960465,110426741,n78095427,,graduate,,
Charles Wright,male,University of Iowa,winner,2013,Bollingen Prize for Poetry,"10,000.00  $",Yale University,career,poetry,Q2960465,110426741,n78095427,,graduate,,
Charles Wright,male,University of Iowa,judge,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2960465,110426741,n78095427,,graduate,,
Charles Wright,male,University of Iowa,judge,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q2960465,110426741,n78095427,,graduate,,
Charles Wright,male,University of Iowa,judge,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q2960465,110426741,n78095427,,graduate,,
Charles Wright,male,University of Iowa,judge,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2960465,110426741,n78095427,,graduate,,
D. A. Powell,male,University of Iowa,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q5203478,28821341,n97105916,,graduate,,
Brad Watson,male,University of Alabama,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q4954347,47015908,no2010171549,,graduate,,
Ishion Hutchinson,male,New York University,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q16252560,,,,graduate,,
Neil Labute,male,New York University,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q965498,84248018,no95009945,,graduate,,
Mark Doty,male,Goddard College,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q1563756,84141526,n79151575,,graduate,,
Mark Doty,male,Goddard College,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q1563756,84141526,n79151575,,graduate,,
Edward Hirsch,male,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q5343460,46805662,n80153675,University of Pennsylvania,graduate,,
Edward Hirsch,male,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q5343460,46805662,n80153675,University of Pennsylvania,graduate,,
Reginald Gibbons,male,,judge,2013,Jackson Poetry Prize,"75,000.00  $",Poets & Writers,career,poetry,Q7308709,32254905,n78009649,"Princeton University, Stanford University",graduate,Stegner,
James Hadley Billington,male,,judge,2013,Poet Laureate,"35,000.00  $",Library of Congress,career,poetry,Q137576,54202464,n80020417,Princeton University,graduate,,
Christopher Benfey,male,,winner,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q1247800,61563422,n83313756,Harvard University,graduate,,
Louis Begley,male,,judge,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q314843,84023825,n91018358,Harvard University,graduate,,
Louis Begley,male,,judge,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q314843,84023825,n91018358,Harvard University,graduate,,
Louis Begley,male,,judge,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q314843,84023825,n91018358,Harvard University,graduate,,
Louis Begley,male,,judge,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q314843,84023825,n91018358,Harvard University,graduate,,
Louis Begley,male,,judge,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q314843,84023825,n91018358,Harvard University,graduate,,
Don Share,male,,judge,2013,Ruth Lilly Poetry Prize,"100,000.00  $",Poetry Foundation,career,poetry,Q5293504,55730698,n88642863,Brown University,graduate,,
Rowan Ricardo Phillips,male,,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q18098755,107956881,n2010017339,Brown University,graduate,,
Adam Foulds,male,,winner,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q4679075,29061877,nb2007023692,,graduate,,
Kazuo Ishiguro,male,,winner,2013,Helmerich Distinguished Author Award,"40,000.00  $",Tulsa Library Trust,career,prose,Q272855,108702574,n81151284,,graduate,,
Morgan Meis,male,,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,,,,,graduate,,
Bill McKibben,male,,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q503815,24639738,n88207642,Harvard University,,,
Darryl Pinckney,male,,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q5225426,54279145,n91057212,Columbia University,,,
Ron Padgett,male,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q2165516,17265862,n79139420,Columbia University,,,
Ron Padgett,male,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q2165516,17265862,n79139420,Columbia University,,,
Donald Antrim,male,,winner,2013,MacArthur Fellowship,"625,000.00  $",MacArthur Foundation,career,no genre,Q714153,71547750,n93003132,Brown University,,,
Arthur Sze,male,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q4800412,1346498,n82011115,,,,
Arthur Sze,male,,winner,2013,Jackson Poetry Prize,"75,000.00  $",Poets & Writers,career,poetry,Q4800412,1346498,n82011115,,,,
Arthur Sze,male,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q4800412,1346498,n82011115,,,,
Bruce Norris,male,,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q991754,11571843,n96050397,,,,
Clifford Thompson,male,,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,,,,,,,
James Salter,male,,winner,2013,Windham Campbell Prize,"165,000.00  $",Yale University,career,prose,Q1395915,85335264,n78094026,,,,
Mischa Berlinski,male,,winner,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q15457139,70815583,n2006038995,,,,
Tom McCarthy,male,,winner,2013,Windham Campbell Prize,"165,000.00  $",Yale University,career,prose,Q430523,84508554,n2010008229,,,,
Victor Hernandez Cruz,male,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q7925991,91311168,n50018707,,,,
Victor Hernandez Cruz,male,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q7925991,91311168,n50018707,,,,
Hannah Dela Cruz Abrams,female,University of North Carolina,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,,,,,graduate,,
Amanda Coplin,female,University of Minnesota,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q20985208,231784889,n2012013173,,graduate,,
Natasha Trethewey,female,"University of Massachusetts, Amherst",judge,2013,Jackson Poetry Prize,"75,000.00  $",Poets & Writers,career,poetry,Q6968508,120068914,no00088459,,graduate,,
Natasha Trethewey,female,"University of Massachusetts, Amherst",winner,2013,Poet Laureate,"35,000.00  $",Library of Congress,career,poetry,Q6968508,120068914,no00088459,,graduate,,
Hannah Sanghee Park,female,University of Iowa,winner,2013,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,Q58643075,310712953,n2014060396,,graduate,,
Jenniferdu Dubois,female,University of Iowa,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,,,,,graduate,,
Joanna Klink,female,University of Iowa,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q6205871,20914235,n00026010,,graduate,,
C. D. Wright,female,University of Arkansas,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q5045339,22444328,n82119208,,graduate,,
C. D. Wright,female,University of Arkansas,judge,2013,Jackson Poetry Prize,"75,000.00  $",Poets & Writers,career,poetry,Q5045339,22444328,n82119208,,graduate,,
C. D. Wright,female,University of Arkansas,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q5045339,22444328,n82119208,,graduate,,
Natalie Shapero,female,Ohio State University,winner,2013,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,Q55713433,299713107,no2013048074,,graduate,,
Harmony Holiday,female,Columbia University,winner,2013,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,,,,Columbia University,graduate,,
Karen Russell,female,Columbia University,winner,2013,MacArthur Fellowship,"625,000.00  $",MacArthur Foundation,career,no genre,Q3812975,28282483,n2006024155,Columbia University,graduate,,
Carolyn Forché,female,Bowling Green State University,winner,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q5045357,2603438,n82066975,,graduate,,
Jennifer Egan,female,,winner,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q264283,56717951,n94011864,University of Pennsylvania,graduate,,
Marie Ponsot,female,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q6762991,10861477,n81043427,Columbia University,graduate,,
Marie Ponsot,female,,winner,2013,Ruth Lilly Poetry Prize,"100,000.00  $",Poetry Foundation,career,poetry,Q6762991,10861477,n81043427,Columbia University,graduate,,
Marie Ponsot,female,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q6762991,10861477,n81043427,Columbia University,graduate,,
Joan Richardson,female,,judge,2013,Bollingen Prize for Poetry,"10,000.00  $",Yale University,career,poetry,,,,,graduate,,
Stephanie Powell Watts,female,,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q21067268,173137061,n2011049272,,graduate,,
Toi Derricotte,female,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q7813322,84492278,n78060944,,graduate,,
Toi Derricotte,female,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q7813322,84492278,n78060944,,graduate,,
Virginia Grise,female,,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q21781549,171128972,n2011034564,,graduate,,
Alison Lurie,female,,judge,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q272638,29537282,n79103776,Radcliffe College,,,
Alison Lurie,female,,judge,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q272638,29537282,n79103776,Radcliffe College,,,
Alison Lurie,female,,judge,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q272638,29537282,n79103776,Radcliffe College,,,
Alison Lurie,female,,judge,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q272638,29537282,n79103776,Radcliffe College,,,
Alison Lurie,female,,judge,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q272638,29537282,n79103776,Radcliffe College,,,
Francine Prose,female,,judge,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2427599,112469802,n50020196,Radcliffe College,,,
Francine Prose,female,,judge,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2427599,112469802,n50020196,Radcliffe College,,,
Francine Prose,female,,judge,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q2427599,112469802,n50020196,Radcliffe College,,,
Francine Prose,female,,judge,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q2427599,112469802,n50020196,Radcliffe College,,,
Francine Prose,female,,judge,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2427599,112469802,n50020196,Radcliffe College,,,
Jane Hirshfield,female,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q6152382,111900037,n87932759,Princeton University,,,
Jane Hirshfield,female,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q6152382,111900037,n87932759,Princeton University,,,
Katherine Boo,female,,winner,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q6376310,267649809,n2011032232,Barnard College,,,
Anne Waldman,female,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q2851328,84079610,n80012545,,,,
Anne Waldman,female,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q2851328,84079610,n80012545,,,,
C. E. Morgan,female,,winner,2013,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q5006091,14238477,n2008022054,,,,
Louise Gluck,female,,judge,2013,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2344210,84538845,n80005703,,,,
Louise Gluck,female,,judge,2013,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2344210,84538845,n80005703,,,,
Louise Gluck,female,,judge,2013,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q2344210,84538845,n80005703,,,,
Louise Gluck,female,,judge,2013,John Updike Award,"20,000.00  $",American Academy of Arts and Letters,career,no genre,Q2344210,84538845,n80005703,,,,
Louise Gluck,female,,judge,2013,Metcalf Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2344210,84538845,n80005703,,,,
Marilyn Hacker,female,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q3293094,91637977,n79141265,,,,
Marilyn Hacker,female,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q3293094,91637977,n79141265,,,,
Naomi Shihab Nye,female,,judge,2013,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q2896906,14861586,n81085291,,,,
Naomi Shihab Nye,female,,judge,2013,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q2896906,14861586,n81085291,,,,
Susan Howe,female,,judge,2013,Bollingen Prize for Poetry,"10,000.00  $",Yale University,career,poetry,Q7647974,97914539,n79138773,,,,
Zoe Wicomb,female,,winner,2013,Windham Campbell Prize,"165,000.00  $",Yale University,career,prose,Q227137,14890068,n85249534,,,,
Adrian Castro,male,,winner,2012,USA Fellowship,"50,000.00  $","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",career,no genre,Q120768294,38657991,n97052898,,,,
Atsuro Riley,male,,winner,2012,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q4817791,90572443,no2009096568,,,,
Rickey Laurentiis,male,Washington University in St. Louis,winner,2012,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,Q55713358,315603201,no2015050391,,graduate,,
Reginald Dwayne Betts,male,University of Maryland,winner,2012,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,,,,,graduate,,
Anthony Marra,male,University of Iowa,winner,2012,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q4773014,250068813,n2012031261,Stanford University,graduate,Stegner,
Juan Felipe Herrera,male,University of Iowa,judge,2012,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q15460625,163755002,n79033227,Stanford University,graduate,,
Juan Felipe Herrera,male,University of Iowa,judge,2012,Rebekah Johnson Bobbitt National Prize For Poetry,"10,000.00  $",Library of Congress,career,poetry,Q15460625,163755002,n79033227,Stanford University,graduate,,
Juan Felipe Herrera,male,University of Iowa,judge,2012,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q15460625,163755002,n79033227,Stanford University,graduate,,
Philip Levine,male,University of Iowa,judge,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q531273,110361442,n78093573,Stanford University,graduate,Stegner,
Philip Levine,male,University of Iowa,judge,2012,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q531273,110361442,n78093573,Stanford University,graduate,Stegner,
Philip Levine,male,University of Iowa,judge,2012,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q531273,110361442,n78093573,Stanford University,graduate,Stegner,
Philip Levine,male,University of Iowa,winner,2012,Poet Laureate,"35,000.00  $",Library of Congress,career,poetry,Q531273,110361442,n78093573,Stanford University,graduate,Stegner,
Samuel Hunter,male,University of Iowa,winner,2012,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q3471150,,,,graduate,,
Richie Hofmann,male,Johns Hopkins University,winner,2012,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,,,,Stanford University,graduate,Stegner,
Mark Doty,male,Goddard College,judge,2012,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q1563756,84141526,n79151575,,graduate,,
Mark Doty,male,Goddard College,judge,2012,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q1563756,84141526,n79151575,,graduate,,
Junot Diaz,male,Cornell University,winner,2012,MacArthur Fellowship,"500,000.00  $",MacArthur Foundation,career,no genre,Q402664,79142980,n96034971,Cornell University,graduate,,
Nicholas Friedman,male,Cornell University,winner,2012,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,,,,Cornell University,graduate,,
Dinaw Mengestu,male,Columbia University,winner,2012,MacArthur Fellowship,"500,000.00  $",MacArthur Foundation,career,no genre,Q3028276,56040841,n2006058630,Columbia University,graduate,,
Henri Cole,male,Columbia University,winner,2012,Jackson Poetry Prize,"75,000.00  $",Poets & Writers,career,poetry,Q5715387,93369257,n85177796,Columbia University,graduate,,
Alan Heathcock,male,"Bowling Green State University, Boise State University",winner,2012,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q16193629,85880950,,,graduate,,
Edward Hirsch,male,,judge,2012,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q5343460,46805662,n80153675,University of Pennsylvania,graduate,,
Edward Hirsch,male,,judge,2012,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q5343460,46805662,n80153675,University of Pennsylvania,graduate,,
Christian Wiman,male,,judge,2012,Ruth Lilly Poetry Prize,"100,000.00  $",Poetry Foundation,career,poetry,Q2965701,27403850,n98063832,Stanford University,graduate,Stegner,
Wendell Berry,male,,winner,2012,Helmerich Distinguished Author Award,"40,000.00  $",Tulsa Library Trust,career,prose,Q533505,111474845,n50007571,Stanford University,graduate,Stegner,
James Hadley Billington,male,,judge,2012,Poet Laureate,"35,000.00  $",Library of Congress,career,poetry,Q137576,54202464,n80020417,Princeton University,graduate,,
James Hadley Billington,male,,judge,2012,Poet Laureate,"35,000.00  $",Library of Congress,career,poetry,Q137576,54202464,n80020417,Princeton University,graduate,,
Carl Phillips,male,,judge,2012,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q5040647,71523238,n92066382,Harvard University,graduate,,
Carl Phillips,male,,judge,2012,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q5040647,71523238,n92066382,Harvard University,graduate,,
Louis Begley,male,,judge,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q314843,84023825,n91018358,Harvard University,graduate,,
Louis Begley,male,,judge,2012,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q314843,84023825,n91018358,Harvard University,graduate,,
Louis Begley,male,,judge,2012,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q314843,84023825,n91018358,Harvard University,graduate,,
Michael Palmer,male,,winner,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q2386817,100912074,n85192107,Harvard University,graduate,,
Gerald Stern,male,,winner,2012,Rebekah Johnson Bobbitt National Prize For Poetry,"10,000.00  $",Library of Congress,career,poetry,Q5549604,116108024,n80145884,Columbia University,graduate,,
Paul Auster,male,,judge,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q214642,110344312,n81151642,Columbia University,graduate,,
Paul Auster,male,,judge,2012,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q214642,110344312,n81151642,Columbia University,graduate,,
Paul Auster,male,,judge,2012,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q214642,110344312,n81151642,Columbia University,graduate,,
Robert Brustein,male,,judge,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q7342473,5057821,n79138988,Columbia University,graduate,,
Robert Brustein,male,,judge,2012,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q7342473,5057821,n79138988,Columbia University,graduate,,
Robert Brustein,male,,judge,2012,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q7342473,5057821,n79138988,Columbia University,graduate,,
Timothy Snyder,male,,winner,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q747312,120114569,no98080445,Brown University,graduate,,
Aleksander Hemon,male,,winner,2012,USA Fellowship,"50,000.00  $","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",career,no genre,,,,,graduate,,
David Mitchell,male,,winner,2012,E. M. Forster Award,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q72964346,102371618,n50033569,,graduate,,
Dennis O'Driscoll,male,,winner,2012,Lannan Award,"150,000.00  $",Lannan Foundation,career,poetry,Q5258804,118976934,n85087972,,graduate,,
Forrest Gander,male,,judge,2012,USA Fellowship,"50,000.00  $","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",career,no genre,Q5470470,17296979,n87931071,,graduate,,
George Saunders,male,,judge,2012,Saul Bellow Award For Achievement In American Fiction,"25,000.00  $",PEN America,career,prose,Q1251926,49395618,n95046060,,graduate,,
James Tate,male,,judge,2012,Jackson Poetry Prize,"75,000.00  $",Poets & Writers,career,poetry,Q531155,57136,n78094025,,graduate,,
Steve Erickson,male,,judge,2012,USA Fellowship,"50,000.00  $","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",career,no genre,Q711926,24654383,n84226723,,graduate,,
W. S. DiPiero,male,,winner,2012,Ruth Lilly Poetry Prize,"100,000.00  $",Poetry Foundation,career,poetry,,,,,graduate,,
Adam Hochschild,male,,winner,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q349777,88069333,n85318056,Harvard University,,,
Frederick Seidel,male,,winner,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q5498714,44342536,n50000869,Harvard University,,,
Ron Padgett,male,,judge,2012,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q2165516,17265862,n79139420,Columbia University,,,
Ron Padgett,male,,judge,2012,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q2165516,17265862,n79139420,Columbia University,,,
Andre Dubus,male,,winner,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q493118,110787061,n79134894,,,,
Arthur Sze,male,,judge,2012,Academy of American Poets Fellowship,"25,000.00  $",Academy of American Poets,career,poetry,Q4800412,1346498,n82011115,,,,
Arthur Sze,male,,judge,2012,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q4800412,1346498,n82011115,,,,
Christopher Middleton,male,,winner,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q5112874,98056444,n50031368,,,,
Ciaran Berry,male,,winner,2012,Whiting Award,"50,000.00  $",Whiting Foundation,career,no genre,Q5119130,75766549,n2007044869,,,,
David Lindsay-Abaire,male,,winner,2012,Arts and Letters Awards,"10,000.00  $",American Academy of Arts and Letters,career,no genre,Q532488,24884621,n00032777,,,,
Don DeLillo,male,,judge,2012,Saul Bellow Award For Achievement In American Fiction,"25,000.00  $",PEN America,career,prose,Q310048,17253973,n79059951,,,,
E. L. Doctorow,male,,winner,2012,Saul Bellow Award For Achievement In American Fiction,"25,000.00  $",PEN America,career,prose,Q335232,14768905,n79021656,,,,
Frank Stewart,male,,judge,2012,USA Fellowship,"50,000.00  $","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",career,no genre,Q5489792,51086,n79069000,,,,
Gary Snyder,male,,winner,2012,Wallace Stevens Award,"100,000.00  $",Academy of American Poets,career,poetry,Q315963,68944804,n79150347,,,,
Jacob Saenz,male,,winner,2012,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,"25,800.00  $",Poetry Foundation,career,poetry,,,,,,,
Peter Carey,male,,winner,2012,Harold D. Vursell Memorial Award,"20,000.00  $",American Academy of Arts and Letters,career,prose,Q313254,110569724,n80049806,,,,
