date,country,rank,title,author,nationality,gender,entry_id,publisher,publication_country
2018-06-01,Italy,8,Eleanor Oliphant is Completely Fine,Gail Honeyman,United Kingdom,w,2018-06Italy8,Harper,United Kingdom
2018-06-01,Italy,9,American Pastoral,Philip Roth,United States,m,2018-06Italy9,Houghton Mifflin Harcourt,United States
2018-06-01,Italy,10,A Column of Fire,Ken Follett,United Kingdom,m,2018-06Italy10,Viking Press,United Kingdom
2018-06-01,Mexico,1,Hard Dogs Don't Dance,Arturo Pérez-Reverte,Spain,m,2018-06Mexico1,Alfaguara,Spain
2018-06-01,Mexico,2,The Little Prince,Antoine de Saint-Exupéry,France,m,2018-06Mexico2,Éditions Gallimard,France
2018-06-01,Mexico,3,A Criminal Novel,Jorge Volpi,Mexico,m,2018-06Mexico3,Alfaguara,Spain
2018-06-01,Mexico,4,Normal Person,Benito Taibo,Mexico,m,2018-06Mexico4,Booket,Mexico
2018-06-01,Mexico,5,One Hundred Years of Solitude,Gabriel García Márquez,Colombia,m,2018-06Mexico5,Editorial Sudamericana,Argentina
2018-06-01,Mexico,6,The Little Prince,Antoine de Saint-Exupéry,France,m,2018-06Mexico6,Éditions Gallimard,France
2018-06-01,Mexico,7,Pedro Páramo,Juan Rulfo,Mexico,m,2018-06Mexico7,Editorial RM,Mexico
2018-06-01,Mexico,8,Norwegian Wood,Haruki Murakami,Japan,m,2018-06Mexico8,Shinchosha,Japan
2018-06-01,Mexico,9,Love For Four Seasons,Nacarid Portal Arraez,Venezuela,w,2018-06Mexico9,Ediciones deja vu,Venezuela
2018-06-01,Mexico,10,The Shack,Wm. Paul Young,Canada,m,2018-06Mexico10,Windblown Media,Canada
2018-06-01,Nigeria,1,Hullabaloo in the Guava Orchard,Kiran Desai,India,w,2018-06Nigeria1,Grove Atlantic,United States
2018-06-01,Nigeria,2,The Inheritance of Loss,Kiran Desai,India,w,2018-06Nigeria2,Grove Atlantic,United Kingdom
2018-06-01,Nigeria,3,Three Men & A Bottle,Anthony Onugba,Nigeria,m,2018-06Nigeria3,Lulu,United States
2018-06-01,Nigeria,4,The Famished Road,Ben Okri,Nigeria,m,2018-06Nigeria4,Jonathan Cape,United Kingdom
2018-06-01,Nigeria,5,The Spider's Web,Dumebi Ezar Ehigiator,Nigeria,w,2018-06Nigeria5,Origami,Nigeria
2018-06-01,Nigeria,6,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Nigeria,w,2018-06Nigeria6,Nan A. Talese,United States
2018-06-01,Nigeria,7,Americanah,Chimamanda Ngozi Adichie,Nigeria,w,2018-06Nigeria7,Alfred A. Knopf,United States
2018-06-01,Nigeria,8,Blink Of An Eye,Ted Dekker,United States,m,2018-06Nigeria8,Center Street,United States
2018-06-01,Nigeria,9,BoneMan's Daughters,Ted Dekker,United States,m,2018-06Nigeria9,Center Street,United States
2018-06-01,Nigeria,10,Sinner,Ted Dekker,United States,m,2018-06Nigeria10,Thomas Nelson,United States
2018-06-01,Spain,1,The Captain's Daughters,María Dueñas,Spain,w,2018-06Spain1,Planeta,Spain
2018-06-01,Spain,2,Far From The Heart,Lorenzo Silva,Spain,m,2018-06Spain2,Destino,Spain
2018-06-01,Spain,3,The Chemistry Of Hatred,Carme Chaparro,Spain,w,2018-06Spain3,Espasa,Spain
2018-06-01,Spain,4,Homeland,Fernando Aramburu,Spain,m,2018-06Spain4,Tusquets,Spain
2018-06-01,Spain,5,Ordesa,Manuel Vilas,Spain,m,2018-06Spain5,Alfaguara,Spain
2018-06-01,Spain,6,The Gypsy Bride,Carmen Mola,Spain; Spain; Spain,m; m; m,2018-06Spain6,Alfaguara,Spain
2018-06-01,Spain,7,The Order of the Day,Éric Vuillard,France,m,2018-06Spain7,Actes Sud,France
2018-06-01,Spain,8,The Woman in the Window,A. J. Finn,United States,m,2018-06Spain8,HarperCollins,United States
2018-06-01,Spain,9,Hard Dogs Don't Dance,Arturo Pérez-Reverte,Spain,m,2018-06Spain9,Alfaguara,Spain
2018-06-01,Spain,10,White River Burning,John Verdon,United States,m,2018-06Spain10,Counterpoint,United States
2018-06-01,United States,1,The Cast,Danielle Steel,United States,w,2018-06United States1,Delacorte,United States
2018-06-01,United States,2,The 17th Suspect,James Patterson; Maxine Paetro,United States; United States,m; w,2018-06United States2,"Little, Brown and Company",United States
2018-06-01,United States,3,The Fallen,David Baldacci,United States,m,2018-06United States3,Grand Central,United States
2018-06-01,United States,4,By Invitation Only,Dorothea Benton Frank,United States,w,2018-06United States4,William Morrow and Company,United States
2018-06-01,United States,5,The High Tide Club,Mary Kay Andrews,United States,w,2018-06United States5,St. Martin's,United States
2018-06-01,United States,6,Twisted Prey,John Sandford,United States,m,2018-06United States6,"Little, Brown and Company",United States
2018-06-01,United States,7,Before We Were Yours,Lisa Wingate,United States,w,2018-06United States7,Ballantine,United States
2018-06-01,United States,8,Little Fires Everywhere,Celeste Ng,United States,w,2018-06United States8,Penguin,United States
2018-06-01,United States,9,Warlight,Michael Ondaatje,"Sri Lanka, Canada",m,2018-06United States9,McClelland and Stewart,Canada
2018-06-01,United States,10,The Crooked Staircase,Dean Koontz,United States,m,2018-06United States10,Bantam,United States
2018-07-01,France,1,The Braid,Lætitia Colombani,France,w,2018-07France1,Éditions Grasset,France
2018-07-01,France,2,An Apartment In Paris,Guillaume Musso,France,m,2018-07France2,XO,France
2018-07-01,France,3,The Last Of The Stanfields,Marc Levy,France,m,2018-07France3,Pocket,France
2018-07-01,France,4,The Perfect Nanny,Leïla Slimani,Morocco,w,2018-07France4,Éditions Gallimard,France
2018-07-01,France,5,Into the Water,Paula Hawkins,United Kingdom,w,2018-07France5,Doubleday,United Kingdom
2018-07-01,France,6,Your Second Life Begins When You Understand You Only Have One,Raphaëlle Giordano,France,w,2018-07France6,Eyrolles,France
2018-07-01,France,7,This Poison Will Remain,Fred Vargas,France,w,2018-07France7,Flammarion,France
2018-07-01,France,8,The Scent Of Happiness Is Stronger In The Rain,Virginie Grimaldi,France,w,2018-07France8,Librairie générale française,France
2018-07-01,France,9,The Girl And The Night,Guillaume Musso,France,m,2018-07France9,Calmann-Lévy,France
2018-07-01,France,10,Touch & Go,Lisa Gardner,United States,w,2018-07France10,Dutton,United States
2018-07-01,Germany,1,The Field,Robert Seethaler,Austria,m,2018-07Germany1,Hanser,Germany
2018-07-01,Germany,2,The Tyranny Of The Butterfly,Frank Schätzing,Germany,m,2018-07Germany2,Kiepenheuer and Witsch,Germany
2018-07-01,Germany,3,The History of Bees,Maja Lunde,Norway,w,2018-07Germany3,Aschehoug,Norway
2018-07-01,Germany,4,"It's Just A Phase, Rabbit",Maxim Leo; Jochen Gutsch,Germany; Germany,m; m,2018-07Germany4,Ullstein Verlag,Germany
2018-07-01,Germany,5,Kluftinger,Volker Klüpfel; Michael Kohr,Germany; Germany,m; m,2018-07Germany5,Ullstein Verlag,Germany
2018-07-01,Germany,6,Still Me,Jojo Moyes,United Kingdom,w,2018-07Germany6,Viking Press,United States
2018-07-01,Germany,7,The History Of Water,Maja Lunde,Norway,w,2018-07Germany7,Norwegian Bokml,Norway
2018-07-01,Germany,8,All Except Me,Francesca Melandri,Italy,w,2018-07Germany8,Rizzoli,Italy
2018-07-01,Germany,9,What You Can See From Here,Mariana Leky,Germany,w,2018-07Germany9,DuMont,Germany
2018-07-01,Germany,10,The Braid,Lætitia Colombani,France,w,2018-07Germany10,Éditions Grasset,France
2018-07-01,Greece,1,The Package,Sebastian Fitzek,Germany,m,2018-07Greece1,Droemer Knaur,Germany
2018-07-01,Greece,2,Stars In The Sand,Rena Rossi-Zairi,Greece,w,2018-07Greece2,Psychogios,Greece
2018-07-01,Greece,3,The Palm Tree,Christos Chomenidis,Greece,m,2018-07Greece3,Patakis,Greece
2018-07-01,Greece,4,Obstinancy,Yiannis Kalpouzos,Greece,m,2018-07Greece4,Psychogios,Greece
2018-07-01,Greece,5,History Without Name,Stefanos Dandolos,Greece,m,2018-07Greece5,Psychogios,Germany
2018-07-01,Greece,6,Macbeth,Jo Nesbø,Norway,m,2018-07Greece6,Aschehoug,Norway
2018-07-01,Greece,7,The Dragon Chairs,Chrysa Dimoulidou,Greece,w,2018-07Greece7,Psychogios,Greece
2018-07-01,Greece,8,Origin,Dan Brown,United States,m,2018-07Greece8,Doubleday,United States
2018-07-01,Greece,9,To Kill a Mockingbird,Harper Lee,United States,w,2018-07Greece9,Lippincott,United States
2018-07-01,Greece,10,Seminars Of Murder Writing,Petros Markaris,"Turkey, Greece",m,2018-07Greece10,Gavriliidis,Greece
2018-07-01,Italy,1,The Girl with the Leica,Helena Janeczek,"Germany, Italy",w,2018-07Italy1,Guanda,Italy
2018-07-01,Italy,2,The Catalanotti Method,Andrea Camilleri,Italy,m,2018-07Italy2,Sellerio Editore,Italy
2018-07-01,Italy,3,At The Bocce Farm,Marco Malvaldi,Italy,m,2018-07Italy3,Sellerio Editore,Italy
2018-07-01,Italy,4,The Purgatory Of The Angel,Maurizio De Giovanni,Italy,m,2018-07Italy4,Einaudi,Italy
2018-07-01,Italy,5,Every Breath,Nicholas Sparks,United States,m,2018-07Italy5,Grand Central,United States
2018-07-01,Italy,6,His Vigor Grows Along The Way,Mario Delpini,Italy,m,2018-07Italy6,Centro Ambrosiano,Italy
2018-07-01,Italy,7,The Disappearance of Stephanie Mailer,Joël Dicker,Switzerland,m,2018-07Italy7,Fallois,France
2018-07-01,Italy,8,The Heart Of The Storm,Corina Bomann,Germany,w,2018-07Italy8,Ullstein Verlag,Germany
2018-07-01,Italy,9,Origin,Dan Brown,United States,m,2018-07Italy9,Doubleday,United States
2018-07-01,Italy,10,The Pact Of The Black Abbot,Marcello Simoni,Italy,m,2018-07Italy10,Newton Compton,Italy
2018-07-01,Portugal,1,The Little Prince,Antoine de Saint-Exupéry,France,m,2018-07Portugal1,Éditions Gallimard,France
2018-07-01,Portugal,2,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2018-07Portugal2,Fallois,France
2018-07-01,Portugal,3,The Dark Tower VI: Song of Susannah,Stephen King,United States,m,2018-07Portugal3,Scribner,United States
2018-07-01,Portugal,4,The Dark Tower IV: Wizard and Glass,Stephen King,United States,m,2018-07Portugal4,Scribner,United States
2018-07-01,Portugal,5,Nineteen Eighty-Four,George Orwell,United Kingdom,m,2018-07Portugal5,Secker & Warburg,United Kingdom
2018-07-01,Portugal,6,A Game of Thrones,George R. R. Martin,United States,m,2018-07Portugal6,Bantam,United States
2018-07-01,Portugal,7,Vaticanum,Jose Rodrigues dos Santos,"Mozambique, Portugal",m,2018-07Portugal7,Gradiva,Portugal
2018-07-01,Portugal,8,The Waste Lands,Stephen King,United States,m,2018-07Portugal8,Scribner,United States
2018-07-01,Portugal,9,The Disappearance of Stephanie Mailer,Joël Dicker,Switzerland,m,2018-07Portugal9,Fallois,France
2018-07-01,Portugal,10,The Dark Tower V: Wolves of the Calla,Stephen King,United States,m,2018-07Portugal10,Scribner,United States
2018-07-01,Spain,1,The Disappearance of Stephanie Mailer,Joël Dicker,Switzerland,m,2018-07Spain1,Fallois,France
2018-07-01,Spain,2,The Captain's Daughters,María Dueñas,Spain,w,2018-07Spain2,Planeta,Spain
2018-07-01,Spain,3,The Handmaid's Tale,Margaret Atwood,Canada,w,2018-07Spain3,McClelland and Stewart,Canada
2018-07-01,Spain,4,Homeland,Fernando Aramburu,Spain,m,2018-07Spain4,Tusquets,Spain
2018-07-01,Spain,5,Ordesa,Manuel Vilas,Spain,m,2018-07Spain5,Alfaguara,Spain
2018-07-01,Spain,6,The Chemistry Of Hatred,Carme Chaparro,Spain,w,2018-07Spain6,Espasa,Spain
2018-07-01,Spain,7,Far From The Heart,Lorenzo Silva,Spain,m,2018-07Spain7,Destino,Spain
2018-07-01,Spain,8,This Poison Will Remain,Fred Vargas,France,w,2018-07Spain8,Flammarion,France
2018-07-01,Spain,9,The Woman in the Window,A. J. Finn,United States,m,2018-07Spain9,HarperCollins,United States
2018-07-01,Spain,10,Song Of Blood And Gold,Jorge Molist,Spain,m,2018-07Spain10,Planeta,Chile
2018-07-01,United States,1,The President Is Missing,Bill Clinton; James Patterson,United States; United States,m; m,2018-07United States1,"Little, Brown and Company",United States
2018-07-01,United States,2,The Outsider,Stephen King,United States,m,2018-07United States2,Scribner,United States
2018-07-01,United States,3,Tom Clancy Line Of Sight,Mike Maden,United States,m,2018-07United States3,Putnam,United States
2018-07-01,United States,4,The Pharaoh Key,Douglas Preston; Lincoln Child,United States; United States,m; m,2018-07United States4,Grand Central,United States
2018-07-01,United States,5,Shelter In Place,Nora Roberts,United States,w,2018-07United States5,St. Martin's,United States
2018-07-01,United States,6,The Death Of Mrs. Westaway,Ruth Ware,United Kingdom,w,2018-07United States6,Scout,United Kingdom
2018-07-01,United States,7,The Fallen,David Baldacci,United States,m,2018-07United States7,Grand Central,United States
2018-07-01,United States,8,The Gray Ghost,Clive Cussler; Robin Burcell,United States; United States,m; w,2018-07United States8,Putnam,United States
2018-07-01,United States,9,World of Warcraft: Before the Storm,Christie Golden,United States,w,2018-07United States9,Del Rey,United States
2018-07-01,United States,10,When Life Gives You Lululemons,Lauren Weisberger,United States,w,2018-07United States10,Simon & Schuster,United States
2018-08-01,China,1,The Works Of Keigo Higashino,Keigo Higashino,Japan,m,2018-08China1,Shueisha,Japan
2018-08-01,China,2,Red Crag,Luo Guangbin; Yang Yiyan,China; China,m; m,2018-08China2,China Youth,China
2018-08-01,China,3,Ordinary World,Lu Yao,China,m,2018-08China3,Beijing October Literature and Arts Press,China
2018-08-01,China,4,Legend Of The Dragon King,Tangjia Sanshao,China,m,2018-08China4,Hunan Children's,China
2018-08-01,China,5,The Works Of Yu Hua,Yu Hua,China,m,2018-08China5,Beijing October Literature and Arts Press,China
2018-08-01,China,6,Ordinary World,Lu Yao,China,m,2018-08China6,Beijing October Literature and Arts Press,China
2018-08-01,China,7,White Night,Keigo Higashino,Japan,m,2018-08China7,Shogakukan,Japan
2018-08-01,China,8,There Is A Canteen At The Cloud's Edge,Zhang Jiajia,China,m,2018-08China8,Hunan Art Publishing House,China
2018-08-01,China,9,The Kite Runner,Khaled Hosseini,"United States, Afghanistan",m,2018-08China9,Riverhead,United States
2018-08-01,China,10,Siege,Qian Zhongshu,China,m,2018-08China10,People's Literature,China
2018-08-01,France,1,The Braid,Lætitia Colombani,France,w,2018-08France1,Éditions Grasset,France
2018-08-01,France,2,An Apartment In Paris,Guillaume Musso,France,m,2018-08France2,XO,France
2018-08-01,France,3,Your Second Life Begins When You Understand You Only Have One,Raphaëlle Giordano,France,w,2018-08France3,Eyrolles,France
2018-08-01,France,4,The Last Of The Stanfields,Marc Levy,France,m,2018-08France4,Pocket,France
2018-08-01,France,5,The Scent Of Happiness Is Stronger In The Rain,Virginie Grimaldi,France,w,2018-08France5,Librairie générale française,France
2018-08-01,France,6,The Perfect Nanny,Leïla Slimani,Morocco,w,2018-08France6,Éditions Gallimard,France
2018-08-01,France,7,Into the Water,Paula Hawkins,United Kingdom,w,2018-08France7,Doubleday,United Kingdom
2018-08-01,France,8,The Disappearance of Stephanie Mailer,Joël Dicker,Switzerland,m,2018-08France8,Fallois,France
2018-08-01,France,9,Touch & Go,Lisa Gardner,United States,w,2018-08France9,Dutton,United States
2018-08-01,France,10,Out Of Sorts,Aurélie Valognes,France,w,2018-08France10,Librairie générale française,France
2018-08-01,Germany,1,The Field,Robert Seethaler,Austria,m,2018-08Germany1,Hanser,Germany
2018-08-01,Germany,2,The Tyranny Of The Butterfly,Frank Schätzing,Germany,m,2018-08Germany2,Kiepenheuer and Witsch,Germany
2018-08-01,Germany,3,What You Can See From Here,Mariana Leky,Germany,w,2018-08Germany3,DuMont,Germany
2018-08-01,Germany,4,In The Midst Of Winter,Isabel Allende,Chile,w,2018-08Germany4,Plaza & Janés,Spain
2018-08-01,Germany,5,"It's Just A Phase, Rabbit",Maxim Leo; Jochen Gutsch,Germany; Germany,m; m,2018-08Germany5,Ullstein Verlag,Germany
2018-08-01,Germany,6,The History of Bees,Maja Lunde,Norway,w,2018-08Germany6,Aschehoug,Norway
2018-08-01,Germany,7,Still Me,Jojo Moyes,United Kingdom,w,2018-08Germany7,Viking Press,United States
2018-08-01,Germany,8,Pieces of Her,Karin Slaughter,United States,w,2018-08Germany8,HarperCollins,United States
2018-08-01,Germany,9,The History Of Water,Maja Lunde,Norway,w,2018-08Germany9,Norwegian Bokml,Norway
2018-08-01,Germany,10,Kluftinger,Volker Klüpfel; Michael Kohr,Germany; Germany,m; m,2018-08Germany10,Ullstein Verlag,Germany
2018-08-01,Italy,1,The Catalanotti Method,Andrea Camilleri,Italy,m,2018-08Italy1,Sellerio Editore,Italy
2018-08-01,Italy,2,The Girl with the Leica,Helena Janeczek,"Germany, Italy",w,2018-08Italy2,Guanda,Italy
2018-08-01,Italy,3,At The Bocce Farm,Marco Malvaldi,Italy,m,2018-08Italy3,Sellerio Editore,Italy
2018-08-01,Italy,4,The Disappearance of Stephanie Mailer,Joël Dicker,Switzerland,m,2018-08Italy4,Fallois,France
2018-08-01,Italy,5,Eleanor Oliphant is Completely Fine,Gail Honeyman,United Kingdom,w,2018-08Italy5,Harper,United Kingdom
2018-08-01,Italy,6,My Brilliant Friend,Elena Ferrante,Italy,w,2018-08Italy6,Edizioni E/O,Italy
2018-08-01,Italy,7,Every Breath,Nicholas Sparks,United States,m,2018-08Italy7,Grand Central,United States
2018-08-01,Italy,8,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2018-08Italy8,Fallois,France
2018-08-01,Italy,9,Origin,Dan Brown,United States,m,2018-08Italy9,Doubleday,United States
2018-08-01,Italy,10,The Cactus,Sarah Haywood,United Kingdom,w,2018-08Italy10,Two Roads,United Kingdom
2018-08-01,Spain,1,The Disappearance of Stephanie Mailer,Joël Dicker,Switzerland,m,2018-08Spain1,Fallois,France
2018-08-01,Spain,2,The Captain's Daughters,María Dueñas,Spain,w,2018-08Spain2,Planeta,Spain
2018-08-01,Spain,3,Homeland,Fernando Aramburu,Spain,m,2018-08Spain3,Tusquets,Spain
2018-08-01,Spain,4,The Day Sanity Was Lost,Javier Castillo,Spain,m,2018-08Spain4,Suma,Spain
2018-08-01,Spain,5,The Villa Of Fabrics,Anne Jacobs,Germany,w,2018-08Spain5,Blanvalet,Germany
2018-08-01,Spain,6,The Handmaid's Tale,Margaret Atwood,Canada,w,2018-08Spain6,McClelland and Stewart,Canada
2018-08-01,Spain,7,Ordesa,Manuel Vilas,Spain,m,2018-08Spain7,Alfaguara,Spain
2018-08-01,Spain,8,The Gypsy Bride,Carmen Mola,Spain; Spain; Spain,m; m; m,2018-08Spain8,Alfaguara,Spain
2018-08-01,Spain,9,The Woman in the Window,A. J. Finn,United States,m,2018-08Spain9,HarperCollins,United States
2018-08-01,Spain,10,Far From The Heart,Lorenzo Silva,Spain,m,2018-08Spain10,Destino,Spain
2018-08-01,Turkey,1,Fahrenheit 451,Ray Bradbury,United States,m,2018-08Turkey1,Ballantine,United States
2018-08-01,Turkey,2,Three Sisters,İclal Aydın,Turkey,w,2018-08Turkey2,Artemis,Turkey
2018-08-01,Turkey,3,Swallow's Cry,Ahmet Ümit,Turkey,m,2018-08Turkey3,Everest Yayınları,Turkey
2018-08-01,Turkey,4,67,Oğuzhan Uğur,Turkey,m,2018-08Turkey4,Hayy Kitap,Turkey
2018-08-01,Turkey,5,The Alchemist,Paulo Coelho,Brazil,m,2018-08Turkey5,Eco,Brazil
2018-08-01,Turkey,6,Madonna in a Fur Coat,Sabahattin Ali,Turkey,m,2018-08Turkey6,Yapı Kredi Yayınları,Turkey
2018-08-01,Turkey,7,Animal Farm,George Orwell,United Kingdom,m,2018-08Turkey7,Secker & Warburg,United Kingdom
2018-08-01,Turkey,8,Leyla And Mecnun,Burak Aksak,Turkey,m,2018-08Turkey8,Kusurat,Turkey
2018-08-01,Turkey,9,Nineteen Eighty-Four,George Orwell,United Kingdom,m,2018-08Turkey9,Secker & Warburg,United Kingdom
2018-08-01,Turkey,10,4N1K,Büşra Yılmaz,Turkey,w,2018-08Turkey10,Epsilon,Turkey
2018-08-01,United States,1,The Other Woman,Daniel Silva,United States,m,2018-08United States1,Harper,United States
2018-08-01,United States,2,The President Is Missing,Bill Clinton; James Patterson,United States; United States,m; m,2018-08United States2,"Little, Brown and Company",United States
2018-08-01,United States,3,Cottage By The Sea,Debbie Macomber,United States,w,2018-08United States3,Ballantine,United States
2018-08-01,United States,4,The Outsider,Stephen King,United States,m,2018-08United States4,Scribner,United States
2018-08-01,United States,5,The Perfect Couple,Elin Hilderbrand,United States,w,2018-08United States5,"Little, Brown and Company",United States
2018-08-01,United States,6,All We Ever Wanted,Emily Giffin,United States,w,2018-08United States6,Ballantine,United States
2018-08-01,United States,7,Spymaster,Brad Thor,United States,m,2018-08United States7,Atria,United States
2018-08-01,United States,8,Clock Dance,Anne Tyler,United States,w,2018-08United States8,Alfred A. Knopf,United States
2018-08-01,United States,9,The Good Fight,Danielle Steel,United States,w,2018-08United States9,Delacorte,United States
2018-08-01,United States,10,When Life Gives You Lululemons,Lauren Weisberger,United States,w,2018-08United States10,Simon & Schuster,United States
2018-09-01,Australia,1,Nine Perfect Strangers,Liane Moriarty,Australia,w,2018-09Australia1,Pan Macmillan Australia,Australia
2018-09-01,Australia,2,The Clockmaker's Daughter,Kate Morton,Australia,w,2018-09Australia2,Allen & Unwin,United Kingdom
2018-09-01,Australia,3,The Tattooist of Auschwitz,Heather Morris,New Zealand,w,2018-09Australia3,Zaffre,United Kingdom
2018-09-01,Australia,4,Eleanor Oliphant is Completely Fine,Gail Honeyman,United Kingdom,w,2018-09Australia4,Harper,United Kingdom
2018-09-01,Australia,5,Scrublands,Chris Hammer,Australia,m,2018-09Australia5,Allen & Unwin,United Kingdom
2018-09-01,Australia,6,Boy Swallows Universe,Trent Dalton,Australia,m,2018-09Australia6,HarperCollins Australia,Australia
2018-09-01,Australia,7,Crazy Rich Asians,Kevin Kwan,"Singapore, United States",m,2018-09Australia7,Doubleday,United States
2018-09-01,Australia,8,A Game Of Thrones (Complete Boxset),George R. R. Martin,United States,m,2018-09Australia8,Bantam,United States
2018-09-01,Australia,9,Lethal White,Robert Galbraith,United Kingdom,w,2018-09Australia9,Hachette,United Kingdom
2018-09-01,Australia,10,The Other Wife,Michael Robotham,Australia,m,2018-09Australia10,Hachette Australia,Australia
2018-09-01,France,1,Of Your News,Agnès Ledig,France,w,2018-09France1,Albin Michel,France
2018-09-01,France,2,The Epicenes,Amélie Nothomb,Belgium,w,2018-09France2,Albin Michel,France
2018-09-01,France,3,The Braid,Lætitia Colombani,France,w,2018-09France3,Éditions Grasset,France
2018-09-01,France,4,Your Second Life Begins When You Understand You Only Have One,Raphaëlle Giordano,France,w,2018-09France4,Eyrolles,France
2018-09-01,France,5,The Choice Of Others,Françoise Bourdin,France,w,2018-09France5,Flatiron,France
2018-09-01,France,6,Real Life,Adeline Dieudonne,Belgium,w,2018-09France6,L'Iconoclaste,France
2018-09-01,France,7,King Sable's World Tour,Jean-Christophe Rufin,France,m,2018-09France7,Éditions Gallimard,France
2018-09-01,France,8,An Apartment In Paris,Guillaume Musso,France,m,2018-09France8,XO,France
2018-09-01,France,9,The Scent Of Happiness Is Stronger In The Rain,Virginie Grimaldi,France,w,2018-09France9,Librairie générale française,France
2018-09-01,France,10,In His Image,Jérôme Ferrari,France,m,2018-09France10,Actes Sud,France
2018-09-01,Germany,1,"Eberhofer, Damn!",Rita Falk,Germany,w,2018-09Germany1,dtv Verlagsgesellschaft,Germany
2018-09-01,Germany,2,The Accidental Further Adventures Of The 100-Year-Old Man,Jonas Jonasson,Sweden,m,2018-09Germany2,Piratförlaget,Sweden
2018-09-01,Germany,3,New Year,Juli Zeh,Germany,w,2018-09Germany3,Luchterhand,Germany
2018-09-01,Germany,4,Turning Point,Carmen Korn,Germany,w,2018-09Germany4,Delacorte,United States
2018-09-01,Germany,5,"It's Just A Phase, Rabbit",Maxim Leo; Jochen Gutsch,Germany; Germany,m; m,2018-09Germany5,Ullstein Verlag,Germany
2018-09-01,Germany,6,The Field,Robert Seethaler,Austria,m,2018-09Germany6,Hanser,Germany
2018-09-01,Germany,7,The Tyranny Of The Butterfly,Frank Schätzing,Germany,m,2018-09Germany7,Kiepenheuer and Witsch,Germany
2018-09-01,Germany,8,Lousy Little Murders,Jussi Adler-Olsen,Denmark,m,2018-09Germany8,Politiken,Denmark
2018-09-01,Germany,9,In The Midst Of Winter,Isabel Allende,Chile,w,2018-09Germany9,Plaza & Janés,Spain
2018-09-01,Germany,10,The Hungry And The Sated,Timur Vermes,Germany,m,2018-09Germany10,Eichborn,Germany
2018-09-01,Italy,1,M: Son of the Century,Antonio Scurati,Italy,m,2018-09Italy1,Bompiani,Italy
2018-09-01,Italy,2,At the Wolf’s Table,Rosella Postorino,Italy,w,2018-09Italy2,Feltrinelli,Italy
2018-09-01,Italy,3,My Brilliant Friend,Elena Ferrante,Italy,w,2018-09Italy3,Edizioni E/O,Italy
2018-09-01,Italy,4,The Girl with the Leica,Helena Janeczek,"Germany, Italy",w,2018-09Italy4,Guanda,Italy
2018-09-01,Italy,5,The Late Show,Michael Connelly,United States,m,2018-09Italy5,"Little, Brown and Company",United States
2018-09-01,Italy,6,War Cry,Wilbur Smith; David Churchill,"United Kingdom, South Africa; United Kingdom",m; w,2018-09Italy6,William Morrow and Company,United Kingdom
2018-09-01,Italy,7,Mortal Sin,Carlo Lucarelli,Italy,m,2018-09Italy7,Einaudi,Italy
2018-09-01,Italy,8,The Fifth Commandment,Valerio Massimo Manfredi,Italy,m,2018-09Italy8,Mondadori,Italy
2018-09-01,Italy,9,The Cutting Edge,Jeffery Deaver,United States,m,2018-09Italy9,Grand Central,United States
2018-09-01,Italy,10,Eleanor Oliphant is Completely Fine,Gail Honeyman,United Kingdom,w,2018-09Italy10,Harper,United Kingdom
2018-09-01,Spain,1,The King Receives,Eduardo Mendoza,Spain,m,2018-09Spain1,Seix Barral,Spain
2018-09-01,Spain,2,The Disappearance of Stephanie Mailer,Joël Dicker,Switzerland,m,2018-09Spain2,Fallois,France
2018-09-01,Spain,3,Homeland,Fernando Aramburu,Spain,m,2018-09Spain3,Tusquets,Spain
2018-09-01,Spain,4,Hippie,Paulo Coelho,Brazil,m,2018-09Spain4,Companhia das Letras,Brazil
2018-09-01,Spain,5,The Captain's Daughters,María Dueñas,Spain,w,2018-09Spain5,Planeta,Spain
2018-09-01,Spain,6,The Pilgrim,Isabel San Sebastián,Spain,w,2018-09Spain6,Plaza & Janés,Spain
2018-09-01,Spain,7,The Day Sanity Was Lost,Javier Castillo,Spain,m,2018-09Spain7,Suma,Spain
2018-09-01,Spain,8,Ordesa,Manuel Vilas,Spain,m,2018-09Spain8,Alfaguara,Spain
2018-09-01,Spain,9,The Handmaid's Tale,Margaret Atwood,Canada,w,2018-09Spain9,McClelland and Stewart,Canada
2018-09-01,Spain,10,Gog: The Countdown Begins,J. J. Benítez,Spain,m,2018-09Spain10,Planeta,Spain
2018-09-01,United Arab Emirates,1,Hotel On Shadow Lake,Daniela Tully,Germany,w,2018-09United Arab Emirates1,Thomas Dunne,United States
2018-09-01,United Arab Emirates,2,Still Me,Jojo Moyes,United Kingdom,w,2018-09United Arab Emirates2,Viking Press,United States
2018-09-01,United Arab Emirates,3,It,Stephen King,United States,m,2018-09United Arab Emirates3,Viking Press,United States
2018-09-01,United Arab Emirates,4,Eleanor Oliphant is Completely Fine,Gail Honeyman,United Kingdom,w,2018-09United Arab Emirates4,Harper,United Kingdom
2018-09-01,United Arab Emirates,5,The Keeper Of Lost Things,Ruth Hogan,United Kingdom,w,2018-09United Arab Emirates5,Two Roads,United Kingdom
